开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-12 14:20:02,2020-07-12 14:23:12,4.5,66,0,96254,63.49,0,63.49,0,1,0.5,1.5
2020-07-12 14:12:42,2020-07-12 14:15:52,8.1,118.7,250,96360,118.75,0,118.75,0,1,0.5,1.5
2020-07-12 13:58:02,2020-07-12 14:08:12,29.9,438.2,270,96244,437.31,0,437.055,0,1,0.5,1.5
2020-07-12 13:55:52,2020-07-12 13:57:52,3.4,51.5,10,96240,52.35,0,52.607,0,1,0.5,1.5
2020-07-12 13:46:42,2020-07-12 13:53:42,9.5,141,130,96238,139.11,0,139.11,0,1,0.5,1.5
2020-07-12 13:43:02,2020-07-12 13:45:04,3.5,52.2,98,96235,53.34,0,53.076,0,1,0.5,1.5
2020-07-12 13:38:32,2020-07-12 13:42:42,6.8,101.9,20,96233,104.4,0,104.668,0,1,0.5,1.5
2020-07-12 13:32:22,2020-07-12 13:34:12,2.6,38.6,260,96229,36.01,0,36.01,0,1,0.5,1.5
2020-07-12 13:29:42,2020-07-12 13:32:02,3.9,58.5,20,96227,57.1,0,56.829,0,1,0.5,1.5
2020-07-12 13:26:02,2020-07-12 13:28:02,2.7,40.9,100,96223,37.9,0,37.628,0,1,0.5,1.5
2020-07-12 13:22:32,2020-07-12 13:25:52,3.5,52.6,10,96220,53.7,0,53.974,0,1,0.5,1.5
2020-07-12 13:14:22,2020-07-12 13:19:32,5.5,83.2,180,96217,83.24,0,83.24,0,1,0.5,1.5
2020-07-12 13:06:52,2020-07-12 13:10:22,3.9,58.1,240,96213,59.83,0,60.109,0,1,0.5,1.5
2020-07-12 12:54:52,2020-07-12 12:58:42,6.9,105.9,490,96210,105.65,0,105.65,0,1,1,2
2020-07-12 12:53:52,2020-07-12 12:54:42,0.3,4,10,96208,2.64,0,2.64,0,0.5,0.5,1
2020-07-12 12:44:02,2020-07-12 12:47:42,7.1,107.9,370,96203,106.3,0,106.3,0,1,1,2
2020-07-12 12:40:12,2020-07-12 12:42:22,2.2,33.3,100,96200,32.95,0,33.335,0,1,0.5,1.5
2020-07-12 12:14:12,2020-07-12 12:16:52,2.2,33.4,1400,96194,32.95,0,32.95,0,1,1,2
2020-07-12 12:08:22,2020-07-12 12:11:42,3.9,59.1,150,96190,59.12,0,59.12,0,1,0.5,1.5
2020-07-12 12:02:22,2020-07-12 12:05:52,3.9,59.3,150,96186,61.22,0,61.22,0,1,0.5,1.5
2020-07-12 11:54:12,2020-07-12 12:02:12,16.6,256,10,96185,254.78,0,254.78,0,1,0.5,1.5
2020-07-12 11:43:12,2020-07-12 11:47:42,7.6,117.2,390,96180,117.18,0,116.77,0,1,1,2
2020-07-12 11:36:52,2020-07-12 11:43:02,9.8,150.2,10,96177,152.93,0,152.93,0,1,0.5,1.5
2020-07-12 11:28:22,2020-07-12 11:30:22,3.8,60,390,96172,59.67,0,60.09,0,1,1,2
2020-07-12 11:25:12,2020-07-12 11:26:22,0.6,8,120,96169,11.96,0,11.539,0,0.75,0.5,1.25
2020-07-12 11:20:12,2020-07-12 11:24:32,8.1,126.4,40,96167,125.41,0,125.837,0,1,0.5,1.5
2020-07-12 11:18:32,2020-07-12 11:20:02,1.7,26.2,10,96165,23.68,0,23.68,0,1,0.5,1.5
2020-07-12 11:15:02,2020-07-12 11:18:22,3.9,60.4,10,96163,58.61,0,58.179,0,1,0.5,1.5
2020-07-12 11:05:22,2020-07-12 11:09:42,5.7,88.5,320,96158,85.56,0,85.995,0,1,1,2
2020-07-12 10:58:22,2020-07-12 11:00:02,2.6,40.3,320,96155,43.12,0,43.12,0,1,1,2
2020-07-12 10:53:22,2020-07-12 10:55:52,3.3,52.4,150,96152,52.54,0,52.54,0,1,0.5,1.5
2020-07-12 10:42:12,2020-07-12 10:49:42,17,265.4,220,96147,264.44,0,263.988,0,1,0.5,1.5
2020-07-12 10:27:02,2020-07-12 10:31:42,8.5,133.8,630,96139,133.15,0,133.15,0,1,1,2
2020-07-12 10:24:42,2020-07-12 10:26:42,3.1,48.6,20,96137,49.43,0,49.43,0,1,0.5,1.5
2020-07-12 10:18:32,2020-07-12 10:21:22,7.6,119.6,200,96134,119.82,0,119.47,0,1,0.5,1.5
2020-07-12 10:13:02,2020-07-12 10:16:32,3.5,54.7,120,96131,55.64,0,55.992,0,1,0.5,1.5
