开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-03 15:19:52,2020-07-03 15:21:32,1.7,27.6,0,91774,29.25,0,29.623,0,1,0.5,1.5
2020-07-03 15:17:42,2020-07-03 15:19:42,2.7,44.6,10,91771,42.66,0,42.286,0,1,0.5,1.5
2020-07-03 15:10:12,2020-07-03 15:13:52,7,114.5,230,91768,113.44,0,113.44,0,1,0.5,1.5
2020-07-03 15:01:52,2020-07-03 15:05:32,3.7,61.2,280,91765,61.75,0,61.75,0,1,0.5,1.5
2020-07-03 14:58:42,2020-07-03 15:00:32,2.5,40.1,80,91761,39.81,0,39.81,0,1,0.5,1.5
2020-07-03 14:55:22,2020-07-03 14:57:32,1.8,29.5,70,91760,29.79,0,30.361,0,1,0.5,1.5
2020-07-03 14:50:32,2020-07-03 14:52:52,2.7,44.6,150,91758,45.7,0,45.128,0,1,0.5,1.5
2020-07-03 14:46:42,2020-07-03 14:49:22,3.5,57.3,70,91756,58.97,0,58.97,0,1,0.5,1.5
2020-07-03 14:42:22,2020-07-03 14:44:32,3.4,55.2,130,91754,54.69,0,54.69,0,1,0.5,1.5
2020-07-03 14:36:12,2020-07-03 14:38:42,1.7,27.4,220,91750,27.08,0,28.042,0,1,0.5,1.5
2020-07-03 14:26:42,2020-07-03 14:28:32,1.1,18.9,460,91747,19.95,0,19.95,0,0.75,1,1.75
2020-07-03 14:22:12,2020-07-03 14:23:12,0.3,4.2,210,91743,3.59,0,3.205,0,0.5,0.5,1
2020-07-03 14:15:52,2020-07-03 14:21:32,4,65,40,91741,64.47,0,64.47,0,1,0.5,1.5
2020-07-03 14:12:22,2020-07-03 14:15:12,6.5,107.6,40,91738,108.38,0,108.38,0,1,0.5,1.5
2020-07-03 14:08:02,2020-07-03 14:10:42,2.2,36.1,100,91736,32.78,0,32.78,0,1,0.5,1.5
2020-07-03 14:05:12,2020-07-03 14:07:12,4.3,70,50,91734,71.43,0,71.43,0,1,0.5,1.5
2020-07-03 13:56:22,2020-07-03 13:59:32,4.1,67.999,340,91732,68.54,0,68.54,0,1,1,2
2020-07-03 13:50:42,2020-07-03 13:55:22,4.6,76.401,60,91730,75.79,0,75.79,0,1,0.5,1.5
2020-07-03 13:44:32,2020-07-03 13:46:42,4.9,80,240,91725,79,0,79,0,1,0.5,1.5
2020-07-03 13:39:22,2020-07-03 13:42:22,5,81.8,130,91722,82.34,0,81.94,0,1,0.5,1.5
2020-07-03 13:28:42,2020-07-03 13:33:32,6.1,99.401,350,91718,97.04,0,97.442,0,1,1,2
2020-07-03 13:26:22,2020-07-03 13:28:32,4.1,68,10,91716,68.63,0,69.034,0,1,0.5,1.5
2020-07-03 13:20:12,2020-07-03 13:21:22,1.1,19.099,300,91713,17.93,0,17.93,0,0.75,1,1.75
2020-07-03 13:13:32,2020-07-03 13:15:42,3.5,56.7,270,91711,56.46,0,56.46,0,1,0.5,1.5
2020-07-03 13:05:42,2020-07-03 13:07:52,1.4,23,340,91708,24.2,0,24.2,0,1,1,2
2020-07-03 12:51:22,2020-07-03 12:53:22,1.1,16.801,740,91699,17.93,0,18.743,0,0.75,1,1.75
2020-07-03 12:32:32,2020-07-03 12:34:32,1,16.8,1010,91692,18.93,0,19.337,0,0.75,1,1.75
2020-07-03 12:24:32,2020-07-03 12:26:02,1.1,18.9,390,91690,18.82,0,18.413,0,0.75,1,1.75
2020-07-03 12:15:22,2020-07-03 12:22:22,8.3,134.799,130,91689,133.63,0,134.041,0,1,0.5,1.5
2020-07-03 12:13:52,2020-07-03 12:14:42,0.1,2.102,40,91686,2.69,0,2.279,0,0.5,0.5,1
2020-07-03 12:09:12,2020-07-03 12:11:12,2.7,44.299,160,91684,44.63,0,45.042,0,1,0.5,1.5
2020-07-03 11:58:22,2020-07-03 12:02:32,4.6,75.5,400,91680,76.65,0,76.65,0,1,1,2
2020-07-03 11:46:32,2020-07-03 11:50:52,6.4,102.799,450,91677,105.22,0,104.804,0,1,1,2
2020-07-03 11:42:52,2020-07-03 11:45:02,3,50.701,90,91675,50.18,0,50.597,0,1,0.5,1.5
2020-07-03 11:40:22,2020-07-03 11:42:42,2.4,37.898,10,91674,35.49,0,35.49,0,1,0.5,1.5
2020-07-03 11:33:22,2020-07-03 11:36:12,2.7,44.401,250,91669,44.67,0,44.67,0,1,0.5,1.5
2020-07-03 11:15:42,2020-07-03 11:17:02,1,16.801,980,91662,17.93,0,18.769,0,0.75,1,1.75
2020-07-03 11:11:22,2020-07-03 11:13:02,1.2,18.901,160,91659,20.47,0,20.47,0,1,0.5,1.5
2020-07-03 11:04:32,2020-07-03 11:06:22,3,48.599,300,91656,47.61,0,47.189,0,1,1,2
2020-07-03 10:59:22,2020-07-03 11:02:52,3.9,63.3,100,91654,61.84,0,61.84,0,1,0.5,1.5
2020-07-03 10:52:32,2020-07-03 10:53:52,1.5,25.299,330,91649,23.84,0,24.263,0,1,1,2
2020-07-03 10:49:22,2020-07-03 10:51:32,0.9,14.801,60,91648,15,0,15,0,0.75,0.5,1.25
