开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-28 22:11:52,2020-06-28 22:14:32,1.6,24.8,0,89625,25.78,0,25.78,0,1,0.5,1.5
2020-06-28 22:04:12,2020-06-28 22:06:12,2.2,35.2,340,89621,35.67,0,35.806,0,1,1,2
2020-06-28 21:44:12,2020-06-28 21:50:32,9.9,159.5,820,89615,159.36,0,158.945,0,1,1,2
2020-06-28 21:40:12,2020-06-28 21:43:52,9.5,153.3,20,89610,156.76,0,156.76,0,1,0.5,1.5
2020-06-28 21:33:42,2020-06-28 21:40:02,10.5,168.8,10,89607,169.1,0,169.1,0,1,0.5,1.5
2020-06-28 21:24:32,2020-06-28 21:28:12,6.4,104.6,330,89600,104.62,0,104.62,0,1,1,2
2020-06-28 21:23:12,2020-06-28 21:24:22,1.1,18.6,10,89597,18.25,0,18.25,0,0.75,0.5,1.25
2020-06-28 21:20:52,2020-06-28 21:23:02,3.4,53.9,10,89595,54.75,0,54.75,0,1,0.5,1.5
2020-06-28 21:18:12,2020-06-28 21:20:22,4.1,66.3,30,89658,70.6,0,71.035,0,1,0.5,1.5
2020-06-28 21:13:12,2020-06-28 21:15:07,2.6,41.9,185,89593,41.61,0,41.173,0,1,0.5,1.5
2020-06-28 21:10:32,2020-06-28 21:12:22,2.6,41.9,50,89591,43.62,0,43.62,0,1,0.5,1.5
2020-06-28 21:04:32,2020-06-28 21:10:12,11.6,188.1,20,89589,185.64,0,185.937,0,1,0.5,1.5
2020-06-28 21:00:42,2020-06-28 21:04:12,6.2,100.4,20,89584,99.44,0,99.141,0,1,0.5,1.5
2020-06-28 20:57:12,2020-06-28 20:58:32,1.2,18.8,130,89581,18.54,0,18.84,0,0.75,0.5,1.25
2020-06-28 20:52:42,2020-06-28 20:56:02,4.1,67.1,70,89580,69.23,0,69.381,0,1,0.5,1.5
2020-06-28 20:43:02,2020-06-28 20:46:02,3,48.1,400,89575,52.13,0,51.676,0,1,1,2
2020-06-28 20:33:22,2020-06-28 20:39:12,4.6,75,230,89573,78.26,0,78.26,0,1,0.5,1.5
2020-06-28 20:27:12,2020-06-28 20:33:22,7.4,119.6,0,89570,116.37,0,116.37,0,1,0.5,1.5
2020-06-28 20:22:52,2020-06-28 20:26:02,2.1,35.9,70,89565,36.68,0,36.68,0,1,0.5,1.5
2020-06-28 20:19:52,2020-06-28 20:21:42,3,48.5,70,89563,46.31,0,46.31,0,1,0.5,1.5
2020-06-28 20:15:22,2020-06-28 20:19:32,5,81.9,20,89560,84.94,0,84.94,0,1,0.5,1.5
2020-06-28 20:11:22,2020-06-28 20:13:32,2.7,44,110,89557,46.44,0,45.972,0,1,0.5,1.5
2020-06-28 20:09:22,2020-06-28 20:10:52,1.5,23.1,30,89555,23.63,0,24.099,0,1,0.5,1.5
2020-06-28 20:02:32,2020-06-28 20:05:42,4.5,73.4,220,89552,72.9,0,72.9,0,1,0.5,1.5
2020-06-28 20:00:42,2020-06-28 20:02:12,1.4,23.1,20,89549,21.74,0,21.267,0,1,0.5,1.5
2020-06-28 19:58:32,2020-06-28 19:59:32,0.4,6.3,70,89547,9.09,0,9.563,0,0.5,0.5,1
2020-06-28 19:52:12,2020-06-28 19:55:12,5.8,94.4,200,89545,90.83,0,90.83,0,1,0.5,1.5
2020-06-28 19:49:32,2020-06-28 19:51:22,1,16.9,50,89541,16.28,0,16.28,0,0.75,0.5,1.25
2020-06-28 19:41:32,2020-06-28 19:44:52,2.4,40.1,280,89534,40.75,0,40.75,0,1,0.5,1.5
2020-06-28 19:31:42,2020-06-28 19:36:12,7.1,115.9,320,89528,118.04,0,118.04,0,1,1,2
2020-06-28 19:23:42,2020-06-28 19:29:12,10.3,168,150,89526,167.73,0,167.73,0,1,0.5,1.5
2020-06-28 19:17:02,2020-06-28 19:20:12,2.2,36.1,210,89522,37.31,0,36.82,0,1,0.5,1.5
2020-06-28 19:15:02,2020-06-28 19:16:22,1,17,40,89521,16.27,0,16.76,0,0.75,0.5,1.25
2020-06-28 19:11:42,2020-06-28 19:13:52,2.3,38.2,70,89517,40.8,0,40.8,0,1,0.5,1.5
2020-06-28 19:02:42,2020-06-28 19:11:02,11.2,183.9,40,89515,183.8,0,185.96,0,1,0.5,1.5
2020-06-28 19:01:32,2020-06-28 19:02:32,0.2,4.3,10,89510,3.65,0,2.985,0,0.5,0.5,1
2020-06-28 18:57:52,2020-06-28 19:00:22,2.6,42.2,70,89508,43.67,0,44.003,0,1,0.5,1.5
2020-06-28 18:50:52,2020-06-28 18:54:02,4.8,78,230,89503,76.83,0,76.495,0,1,0.5,1.5
2020-06-28 18:48:02,2020-06-28 18:50:02,3.1,50.7,50,89500,50.54,0,50.54,0,1,0.5,1.5
