开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-07 16:45:08,2020-07-07 16:47:22,2.2,34.5,0,93827,32.88,0,32.88,0,1,0.5,1.5
2020-07-07 16:41:52,2020-07-07 16:44:52,5.4,84.9,16,93826,84.1,0,85.091,0,1,0.5,1.5
2020-07-07 16:36:12,2020-07-07 16:38:02,2.4,38.4,230,93821,39.56,0,39.064,0,1,0.5,1.5
2020-07-07 16:13:32,2020-07-07 16:22:02,11.5,179.7,850,93811,179.57,0,179.069,0,1,1,2
2020-07-07 16:05:12,2020-07-07 16:06:52,2.3,36.201,400,93805,35.85,0,35.85,0,1,1,2
2020-07-07 15:49:52,2020-07-07 15:55:12,8,124.398,600,93801,126.67,0,126.67,0,1,1,2
2020-07-07 15:36:02,2020-07-07 15:38:32,2.3,36.201,680,93796,36.04,0,35.535,0,1,1,2
2020-07-07 15:33:22,2020-07-07 15:34:32,0.6,10,90,93793,8.97,0,9.981,0,0.5,0.5,1
2020-07-07 15:30:32,2020-07-07 15:33:12,2,30.1,10,93792,30.23,0,30.23,0,1,0.5,1.5
2020-07-07 15:22:02,2020-07-07 15:23:42,2.3,36.1,410,93787,35.85,0,36.357,0,1,1,2
2020-07-07 15:11:02,2020-07-07 15:13:02,2.9,46.201,540,93783,44.66,0,44.66,0,1,1,2
2020-07-07 14:59:42,2020-07-07 15:01:32,2,29.898,570,93781,30.36,0,29.851,0,1,1,2
2020-07-07 14:54:22,2020-07-07 14:58:52,9.1,141.701,50,93778,139.74,0,139.74,0,1,0.5,1.5
2020-07-07 14:46:02,2020-07-07 14:47:42,2.2,34.1,400,93772,33.6,0,33.087,0,1,1,2
2020-07-07 14:41:52,2020-07-07 14:44:52,1.7,26.1,70,93769,26.89,0,26.89,0,1,0.5,1.5
2020-07-07 14:34:22,2020-07-07 14:37:52,4.6,72.3,240,93767,72.73,0,73.246,0,1,0.5,1.5
2020-07-07 14:29:32,2020-07-07 14:31:12,1.2,17.799,190,93765,17.93,0,17.93,0,0.75,0.5,1.25
2020-07-07 14:13:32,2020-07-07 14:18:02,4.1,63.5,690,93759,62.74,0,62.222,0,1,1,2
2020-07-07 14:09:22,2020-07-07 14:11:42,4.2,65.301,110,93755,64.97,0,64.451,0,1,0.5,1.5
2020-07-07 14:00:32,2020-07-07 14:02:22,2.4,35.699,420,93751,35.85,0,36.89,0,1,1,2
2020-07-07 13:53:42,2020-07-07 13:54:42,0.3,5.901,350,93749,4.49,0,4.49,0,0.5,1,1.5
2020-07-07 13:43:42,2020-07-07 13:46:32,2.2,33.701,430,93743,32.26,0,32.26,0,1,1,2
2020-07-07 13:36:42,2020-07-07 13:39:02,4,61.5,280,93737,60.4,0,59.878,0,1,0.5,1.5
2020-07-07 13:31:32,2020-07-07 13:33:32,1.2,17.799,190,93735,17.93,0,17.93,0,0.75,0.5,1.25
2020-07-07 13:19:32,2020-07-07 13:22:42,6.4,99.099,530,93731,100.76,0,103.124,0,1,1,2
2020-07-07 13:12:52,2020-07-07 13:15:04,1.4,21.8,268,93727,23.3,0,23.826,0,1,0.5,1.5
2020-07-07 13:01:02,2020-07-07 13:03:42,2.5,37.7,550,93725,37.86,0,37.86,0,1,1,2
2020-07-07 12:51:02,2020-07-07 12:52:22,0.6,9.8,520,93720,8.97,0,8.443,0,0.5,1,1.5
2020-07-07 12:24:32,2020-07-07 12:27:02,1.6,23.5,1440,93714,24.52,0,25.048,0,1,1,2
2020-07-07 12:20:32,2020-07-07 12:22:32,1.6,25.401,120,93712,24.74,0,25.004,0,1,0.5,1.5
2020-07-07 11:58:42,2020-07-07 11:59:42,0.6,7.799,1250,93706,8.97,0,8.706,0,0.5,1,1.5
2020-07-07 11:50:02,2020-07-07 11:53:42,6.3,95.8,300,93702,91.72,0,91.72,0,1,1,2
2020-07-07 11:29:02,2020-07-07 11:34:02,4.2,64.6,960,93694,64.32,0,64.32,0,1,1,2
2020-07-07 11:13:22,2020-07-07 11:17:12,4.8,72.301,710,93687,72.22,0,72.22,0,1,1,2
2020-07-07 11:03:22,2020-07-07 11:05:12,2.8,42.799,490,93683,42.9,0,43.167,0,1,1,2
2020-07-07 10:52:52,2020-07-07 10:54:22,1.8,27.201,540,93676,26.89,0,26.89,0,1,1,2
2020-07-07 10:45:32,2020-07-07 10:46:52,1.5,23.299,360,93672,23.82,0,23.552,0,1,1,2
2020-07-07 10:42:32,2020-07-07 10:44:12,2.5,36.9,80,93670,36.7,0,36.969,0,1,0.5,1.5
2020-07-07 10:39:52,2020-07-07 10:41:42,3.1,46.801,50,93669,45.78,0,45.78,0,1,0.5,1.5
2020-07-07 10:33:52,2020-07-07 10:36:52,4.1,62.599,180,93665,60.76,0,60.76,0,1,0.5,1.5
2020-07-07 10:28:22,2020-07-07 10:31:52,5.3,80,120,93661,78.11,0,77.839,0,1,0.5,1.5
2020-07-07 10:24:52,2020-07-07 10:26:52,1.8,26.799,90,93659,25.3,0,25.3,0,1,0.5,1.5
2020-07-07 10:22:42,2020-07-07 10:23:52,1,15.4,60,93658,17.93,0,17.93,0,0.75,0.5,1.25
2020-07-07 10:16:32,2020-07-07 10:18:12,1.9,28.801,270,93652,26.89,0,26.347,0,1,0.5,1.5
2020-07-07 10:13:22,2020-07-07 10:15:32,1.5,23,60,93651,25.13,0,25.674,0,1,0.5,1.5
2020-07-07 10:11:42,2020-07-07 10:13:02,0.5,7.701,20,93649,8.12,0,8.12,0,0.5,0.5,1
2020-07-07 10:02:12,2020-07-07 10:05:22,5.3,78.9,380,93644,79.2,0,79.2,0,1,1,2
