开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-08-08 21:31:43,2020-08-08 21:42:23,14.1,159.4,0,136826/136824/136823,170.41,0,170.41,0,1,0.5,1.5
2020-08-08 21:17:03,2020-08-08 21:31:43,11.5,131.1,0,136821/136819/136817/136816,125.47,0,125.47,0,1,0.5,1.5
2020-08-08 20:58:03,2020-08-08 21:17:03,18,209.3,0,136814/136810/136808/136807/136805,218.77,0,218.77,0,1,0.5,1.5
2020-08-08 20:49:43,2020-08-08 20:58:03,10.5,124.4,0,136804/136856,122.73,0,122.73,0,1,0.5,1.5
2020-08-08 20:13:33,2020-08-08 20:49:43,17,203.9,0,136855/136794/136792/136854,210.99,0,210.99,0,1,0.5,1.5
2020-08-08 19:46:33,2020-08-08 20:13:33,11.4,139.1,0,136782/136778,139.3,0,139.3,0,1,0.5,1.5
2020-08-08 19:22:03,2020-08-08 19:46:33,13.7,167.7,0,136773/136771/136769/136768/136766/136763,173.95,0,173.95,0,1,0.5,1.5
2020-08-08 18:49:33,2020-08-08 19:22:03,15.7,196,0,136762/136760/136756/136754/136751/136750,201.24,0,200.966,0,1,0.5,1.5
2020-08-08 18:29:03,2020-08-08 18:49:33,19.1,242.7,0,136745/136743/136741/136739/136736,240.13,0,240.126,0,1,0.5,1.5
2020-08-08 18:08:23,2020-08-08 18:29:03,9.8,126.1,0,136734/136733/136730/136727,127.92,0,127.917,0,1,0.5,1.5
2020-08-08 17:51:23,2020-08-08 18:08:23,13.9,180.3,0,136725/136724/136719/136716/136714,180.79,0,180.786,0,1,0.5,1.5
2020-08-08 17:42:03,2020-08-08 17:51:23,10.2,133.1,0,136712/136709/136708,134.79,0,134.79,0,1,0.5,1.5
2020-08-08 17:26:33,2020-08-08 17:42:03,12.8,170.1,0,136707/136705/136703/136701,173.08,0,173.08,0,1,0.5,1.5
2020-08-08 17:15:43,2020-08-08 17:26:33,12.5,167.1,0,136698/136696/136693,168.46,0,168.46,0,1,0.5,1.5
