开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-30 19:49:12,2020-06-30 19:50:52,2,31.201,0,90504,31.52,0,31.072,0,1,0.5,1.5
2020-06-30 19:47:22,2020-06-30 19:48:12,0.3,4.201,60,90503,2.33,0,2.778,0,0.5,0.5,1
2020-06-30 19:41:22,2020-06-30 19:42:42,1.2,18.799,280,90501,17.93,0,17.93,0,0.75,0.5,1.25
2020-06-30 19:37:32,2020-06-30 19:39:12,2.3,37.5,130,90498,36.03,0,36.479,0,1,0.5,1.5
2020-06-30 19:33:52,2020-06-30 19:37:12,4.9,79.102,20,90497,82.48,0,82.029,0,1,0.5,1.5
2020-06-30 19:28:32,2020-06-30 19:31:22,5.1,82.799,150,90495,81.81,0,81.81,0,1,0.5,1.5
2020-06-30 19:25:02,2020-06-30 19:26:52,2.5,39.301,100,90494,40.33,0,39.876,0,1,0.5,1.5
2020-06-30 19:23:32,2020-06-30 19:24:22,0.2,4.199,40,90493,3.59,0,4.044,0,0.5,0.5,1
2020-06-30 19:15:32,2020-06-30 19:17:32,2,31.102,360,90491,31.47,0,31.47,0,1,1,2
2020-06-30 19:06:12,2020-06-30 19:09:12,3,50,380,90487,49.65,0,49.194,0,1,1,2
2020-06-30 18:57:32,2020-06-30 19:01:12,4.8,77.099,300,90484,76.36,0,76.36,0,1,1,2
2020-06-30 18:52:22,2020-06-30 18:56:02,4.8,76.2,90,90480,75,0,75,0,1,0.5,1.5
2020-06-30 18:47:52,2020-06-30 18:51:12,3.4,55.201,70,90477,55.67,0,56.131,0,1,0.5,1.5
2020-06-30 18:38:12,2020-06-30 18:40:02,1.1,18.398,470,90471,21.13,0,21.13,0,1,1,2
2020-06-30 18:35:12,2020-06-30 18:37:02,3.5,55.5,70,90470,56.42,0,56.42,0,1,0.5,1.5
2020-06-30 18:30:32,2020-06-30 18:31:42,1.2,18.602,210,90467,17.93,0,17.93,0,0.75,0.5,1.25
2020-06-30 18:20:42,2020-06-30 18:21:22,0.2,4.199,550,90462,2.69,0,2.226,0,0.5,1,1.5
2020-06-30 18:18:12,2020-06-30 18:20:12,3,47.6,30,90461,48.39,0,48.39,0,1,0.5,1.5
2020-06-30 18:12:32,2020-06-30 18:15:02,2.8,45.5,190,90459,45.71,0,46.642,0,1,0.5,1.5
2020-06-30 18:09:22,2020-06-30 18:10:32,1.2,18.701,120,90456,17.93,0,17.464,0,0.75,0.5,1.25
2020-06-30 18:01:32,2020-06-30 18:02:32,0.5,8.2,410,90452,8.97,0,9.437,0,0.5,1,1.5
2020-06-30 17:56:02,2020-06-30 17:57:42,2.6,41.201,230,90450,41.22,0,40.752,0,1,0.5,1.5
2020-06-30 17:54:32,2020-06-30 17:55:52,1.8,28.799,10,90449,30.48,0,30.48,0,1,0.5,1.5
2020-06-30 17:48:12,2020-06-30 17:50:02,2.2,34.901,270,90447,35.85,0,35.381,0,1,0.5,1.5
2020-06-30 17:46:02,2020-06-30 17:47:42,2.2,35,30,90446,35.85,0,36.79,0,1,0.5,1.5
2020-06-30 17:41:42,2020-06-30 17:43:42,2.8,45.3,140,90442,46.14,0,45.669,0,1,0.5,1.5
2020-06-30 17:39:22,2020-06-30 17:41:12,3.1,49.4,30,90439,48.57,0,48.57,0,1,0.5,1.5
2020-06-30 17:33:42,2020-06-30 17:36:42,3.8,61.699,160,90436,60.95,0,60.95,0,1,0.5,1.5
