开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-09 20:56:22,2020-07-09 20:59:12,4,65.801,0,94919,65.99,0,66.805,0,1,0.5,1.5
2020-07-09 20:53:32,2020-07-09 20:56:02,4.3,70.201,20,94917,66.62,0,66.62,0,1,0.5,1.5
2020-07-09 20:38:52,2020-07-09 20:44:52,10.5,174,520,94915,173.5,0,173.087,0,1,1,2
2020-07-09 20:29:52,2020-07-09 20:34:12,7.8,127,280,94911,123.91,0,123.91,0,1,0.5,1.5
2020-07-09 20:25:12,2020-07-09 20:29:32,4.5,74,20,94909,75.98,0,76.816,0,1,0.5,1.5
2020-07-09 20:23:12,2020-07-09 20:24:02,0.1,2.199,70,94906,2.01,0,1.174,0,0.5,0.5,1
2020-07-09 20:14:22,2020-07-09 20:18:42,7.4,120.6,270,94902,120.66,0,120.239,0,1,0.5,1.5
2020-07-09 20:11:02,2020-07-09 20:14:12,3.1,50.8,10,94901,50,0,50.845,0,1,0.5,1.5
2020-07-09 20:07:02,2020-07-09 20:08:12,0.5,8.5,170,94898,8.35,0,8.773,0,0.5,0.5,1
2020-07-09 19:59:42,2020-07-09 20:01:52,1.9,31.7,310,94895,31.63,0,31.207,0,1,1,2
2020-07-09 19:53:02,2020-07-09 19:55:12,2,31.801,270,94893,33.39,0,33.39,0,1,0.5,1.5
2020-07-09 19:48:52,2020-07-09 19:50:22,1.8,29.6,160,94892,30.29,0,30.715,0,1,0.5,1.5
2020-07-09 19:41:52,2020-07-09 19:43:02,0.1,2.102,350,94887,3.89,0,3.89,0,0.5,1,1.5
2020-07-09 19:37:12,2020-07-09 19:39:02,2.9,46.599,170,94884,44.68,0,45.106,0,1,0.5,1.5
2020-07-09 19:21:32,2020-07-09 19:25:32,5.7,92.7,700,94875,93.24,0,93.24,0,1,1,2
2020-07-09 19:17:32,2020-07-09 19:19:52,6.1,101,100,94871,102.66,0,102.66,0,1,0.5,1.5
2020-07-09 19:14:12,2020-07-09 19:16:42,4.2,67.701,50,94870,64.6,0,64.6,0,1,0.5,1.5
2020-07-09 19:08:42,2020-07-09 19:13:12,3.4,55.102,60,94867,56,0,56,0,1,0.5,1.5
2020-07-09 18:59:02,2020-07-09 19:02:02,3.1,50.799,400,94862,50.09,0,50.09,0,1,1,2
2020-07-09 18:48:22,2020-07-09 18:55:12,6.7,110,230,94861,107.89,0,107.015,0,1,0.5,1.5
2020-07-09 18:43:12,2020-07-09 18:47:32,7.1,115.901,50,94855,116.59,0,117.03,0,1,0.5,1.5
2020-07-09 18:37:32,2020-07-09 18:40:52,3.7,58.9,140,94853,62.93,0,62.93,0,1,0.5,1.5
2020-07-09 18:34:22,2020-07-09 18:36:12,2.4,40,80,94850,40.54,0,40.983,0,1,0.5,1.5
2020-07-09 18:30:22,2020-07-09 18:32:52,4.1,67.301,90,94847,67.72,0,67.276,0,1,0.5,1.5
2020-07-09 18:26:12,2020-07-09 18:27:42,2.1,33.699,160,94845,34.38,0,34.825,0,1,0.5,1.5
2020-07-09 18:13:32,2020-07-09 18:16:22,2.4,40,590,94839,37.73,0,37.73,0,1,1,2
2020-07-09 18:02:02,2020-07-09 18:07:42,7.8,126.201,350,94837,126.27,0,126.27,0,1,1,2
2020-07-09 17:56:42,2020-07-09 17:59:52,3.3,54.4,130,94924,57.14,0,57.14,0,1,0.5,1.5
2020-07-09 17:54:22,2020-07-09 17:56:32,3.4,54,10,94832,54.85,0,54.85,0,1,0.5,1.5
2020-07-09 17:50:12,2020-07-09 17:53:22,6.1,97.799,60,94831,99.88,0,99.88,0,1,0.5,1.5
2020-07-09 17:44:22,2020-07-09 17:48:12,7.7,126.301,120,94829,123.41,0,123.41,0,1,0.5,1.5
2020-07-09 17:40:02,2020-07-09 17:42:22,2.1,33.6,120,94826,33.39,0,33.39,0,1,0.5,1.5
2020-07-09 17:31:52,2020-07-09 17:35:22,7.6,123.3,280,94822,122.08,0,122.08,0,1,0.5,1.5
2020-07-09 17:25:22,2020-07-09 17:30:42,8.8,142.2,70,94819,143.03,0,142.566,0,1,0.5,1.5
2020-07-09 17:19:02,2020-07-09 17:24:02,8,129.102,80,94816,132.09,0,132.558,0,1,0.5,1.5
2020-07-09 17:13:42,2020-07-09 17:16:52,3.3,54,130,94813,52.58,0,52.58,0,1,0.5,1.5
2020-07-09 17:09:32,2020-07-09 17:12:02,2,31.199,100,94810,33.39,0,33.39,0,1,0.5,1.5
2020-07-09 17:00:12,2020-07-09 17:04:42,7.8,124.599,290,94806,122.52,0,122.52,0,1,0.5,1.5
2020-07-09 16:55:52,2020-07-09 16:58:32,4,64.401,100,94802,63.74,0,63.74,0,1,0.5,1.5
2020-07-09 16:50:22,2020-07-09 16:53:52,4.2,68.599,120,94799,67.46,0,66.984,0,1,0.5,1.5
2020-07-09 16:44:12,2020-07-09 16:45:42,0.3,4.201,280,94795,5.01,0,5.486,0,0.5,0.5,1
2020-07-09 16:40:22,2020-07-09 16:43:12,3.1,49.799,60,94793,50.11,0,50.11,0,1,0.5,1.5
2020-07-09 16:22:42,2020-07-09 16:32:42,14.2,228.201,460,94789,226.69,0,226.69,0,1,1,2
2020-07-09 16:10:52,2020-07-09 16:12:32,3.2,51.6,610,94782,51.59,0,51.59,0,1,1,2
2020-07-09 16:04:32,2020-07-09 16:07:12,2.1,33,220,94779,33.39,0,33.39,0,1,0.5,1.5
2020-07-09 15:57:02,2020-07-09 15:58:22,1.7,26.8,370,94773,26.35,0,26.35,0,1,1,2
2020-07-09 15:53:02,2020-07-09 15:56:32,7.2,114.901,30,94771,120.92,0,120.92,0,1,0.5,1.5
2020-07-09 15:50:32,2020-07-09 15:51:32,0.4,6.1,90,94770,5.01,0,5.01,0,0.5,0.5,1
2020-07-09 15:45:52,2020-07-09 15:47:32,2.5,39.1,180,94768,40.36,0,41.094,0,1,0.5,1.5
2020-07-09 15:42:42,2020-07-09 15:44:02,1,16.5,110,94767,16.7,0,15.966,0,0.75,0.5,1.25
2020-07-09 15:35:22,2020-07-09 15:40:22,5.5,88.8,140,94766,89.57,0,89.57,0,1,0.5,1.5
2020-07-09 15:27:52,2020-07-09 15:33:22,8.9,141.801,120,94759,139.84,0,139.84,0,1,0.5,1.5
2020-07-09 15:24:12,2020-07-09 15:26:52,4.1,65.599,60,94756,65.95,0,65.95,0,1,0.5,1.5
2020-07-09 15:12:02,2020-07-09 15:21:52,27.6,437.299,140,94752,431.17,0,430.663,0,1,0.5,1.5
2020-07-09 15:07:12,2020-07-09 15:09:22,2,30.602,160,94748,30.04,0,31.818,0,1,0.5,1.5
2020-07-09 15:03:32,2020-07-09 15:06:02,3.8,61.099,70,94746,60.92,0,60.156,0,1,0.5,1.5
2020-07-09 14:57:42,2020-07-09 15:01:22,3.8,59.2,130,94744,60.98,0,60.469,0,1,0.5,1.5
2020-07-09 14:53:33,2020-07-09 14:55:12,2.2,34.599,150,94740,34.3,0,34.812,0,1,0.5,1.5
2020-07-09 14:49:12,2020-07-09 14:50:22,0.5,8,191,94738,8.35,0,8.606,0,0.5,0.5,1
2020-07-09 14:41:02,2020-07-09 14:43:42,2.8,44.301,330,94734,43.12,0,43.633,0,1,1,2
2020-07-09 14:34:12,2020-07-09 14:37:02,5.3,82.6,240,94731,82.77,0,81.998,0,1,0.5,1.5
2020-07-09 14:29:52,2020-07-09 14:33:52,4.9,76.9,20,94730,74.83,0,75.605,0,1,0.5,1.5
2020-07-09 14:27:02,2020-07-09 14:29:02,3,46.6,50,94727,46.23,0,45.712,0,1,0.5,1.5
2020-07-09 14:18:52,2020-07-09 14:22:22,5.4,84.8,280,94726,86.03,0,86.55,0,1,0.5,1.5
2020-07-09 14:08:02,2020-07-09 14:18:42,19.9,309.901,10,94724,305.28,0,306.598,0,1,0.5,1.5
2020-07-09 14:01:52,2020-07-09 14:05:32,4.6,72,150,94719,69.95,0,69.156,0,1,0.5,1.5
2020-07-09 13:57:22,2020-07-09 14:01:32,4.5,70,20,94717,71.18,0,71.711,0,1,0.5,1.5
2020-07-09 13:53:42,2020-07-09 13:56:02,3.8,60,80,94712,59.19,0,59.456,0,1,0.5,1.5
2020-07-09 13:38:32,2020-07-09 13:40:52,1.8,28,770,94707,30,0,30,0,1,1,2
2020-07-09 13:36:22,2020-07-09 13:38:02,2.2,34,30,94705,33.39,0,33.39,0,1,0.5,1.5
2020-07-09 13:34:12,2020-07-09 13:35:52,1.2,18,30,94704,16.7,0,16.433,0,0.75,0.5,1.25
2020-07-09 13:30:32,2020-07-09 13:34:02,3.2,49.599,10,94703,50.09,0,50.893,0,1,0.5,1.5
2020-07-09 13:18:12,2020-07-09 13:20:42,2.9,43.799,590,94698,42.33,0,41.794,0,1,1,2
2020-07-09 13:14:12,2020-07-09 13:16:52,2.4,35.801,80,94696,33.41,0,33.41,0,1,0.5,1.5
2020-07-09 13:12:22,2020-07-09 13:14:02,2.2,33.5,10,94694,33.39,0,33.121,0,1,0.5,1.5
2020-07-09 13:08:22,2020-07-09 13:11:32,3.6,54.9,50,94693,53,0,53.27,0,1,0.5,1.5
2020-07-09 13:06:22,2020-07-09 13:08:12,3,45.1,10,94690,45.37,0,45.37,0,1,0.5,1.5
2020-07-09 13:01:32,2020-07-09 13:03:32,2.2,33.4,170,94687,33.39,0,33.39,0,1,0.5,1.5
2020-07-09 12:57:12,2020-07-09 12:59:12,3.4,51.6,140,94684,50.85,0,51.392,0,1,0.5,1.5
2020-07-09 12:48:02,2020-07-09 12:57:04,17,260.3,8,94681,259.08,0,258.257,0,1,0.5,1.5
2020-07-09 12:40:22,2020-07-09 12:43:42,3.7,56.901,260,94679,56.22,0,56.22,0,1,0.5,1.5
2020-07-09 12:38:02,2020-07-09 12:40:12,3.4,51,10,94676,48.98,0,48.98,0,1,0.5,1.5
2020-07-09 12:31:22,2020-07-09 12:32:12,0.3,3.898,350,94673,3.34,0,3.616,0,0.5,1,1.5
2020-07-09 12:22:02,2020-07-09 12:24:12,3.2,49,430,94669,46.31,0,46.31,0,1,1,2
2020-07-09 12:16:52,2020-07-09 12:20:02,3.1,46.699,120,94666,46.43,0,46.43,0,1,0.5,1.5
2020-07-09 12:07:42,2020-07-09 12:10:42,3.1,46.801,370,94664,48.77,0,48.77,0,1,1,2
2020-07-09 12:01:52,2020-07-09 12:04:02,3.5,52.599,220,94659,52.41,0,52.41,0,1,0.5,1.5
2020-07-09 11:56:32,2020-07-09 12:01:22,5.8,87.7,30,94658,87.65,0,88.208,0,1,0.5,1.5
2020-07-09 11:41:02,2020-07-09 11:46:42,10.7,160.4,590,94650,156.21,0,155.648,0,1,1,2
2020-07-09 11:29:42,2020-07-09 11:34:02,9.4,140.301,420,94643,142.66,0,142.66,0,1,1,2
