开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-28 22:40:42,2020-06-28 22:56:32,10.2,158.7,0,89641/89639/89638,158.3,0,158.3,0,1,0.5,1.5
2020-06-28 22:04:02,2020-06-28 22:40:42,15.6,241.7,0,89636/89633/89631/89629/89628/89626,243.19,0,243.187,0,1,0.5,1.5
2020-06-28 21:37:42,2020-06-28 22:04:02,12,185.3,0,89620/89619/89617/89613/89611/89609,190.56,0,190.89,0,1,0.5,1.5
2020-06-28 21:23:32,2020-06-28 21:37:42,13.3,209.5,0,89606/89602/89599,203.13,0,202.794,0,1,0.5,1.5
2020-06-28 21:07:32,2020-06-28 21:23:32,18.3,286.5,0,89596/89594/89590,289.56,0,289.56,0,1,0.5,1.5
2020-06-28 20:51:22,2020-06-28 21:07:32,10.3,162.5,0,89587/89585/89582/89579,161.97,0,161.97,0,1,0.5,1.5
2020-06-28 20:35:02,2020-06-28 20:51:22,17.2,272.8,0,89578/89574,275.6,0,275.6,0,1,0.5,1.5
2020-06-28 20:13:32,2020-06-28 20:35:02,10.2,161.5,0,89571/89566/89561,163.87,0,163.87,0,1,0.5,1.5
2020-06-28 19:57:42,2020-06-28 20:13:32,11.4,182.7,0,89558/89556/89554/89551/89550,180.57,0,180.57,0,1,0.5,1.5
2020-06-28 19:25:32,2020-06-28 19:57:42,11.9,188.5,0,89546/89544/89543/89539/89530/89527/89525,188.68,0,188.68,0,1,0.5,1.5
2020-06-28 19:12:42,2020-06-28 19:25:32,11.9,191.2,0,89524/89518,191.5,0,191.5,0,1,0.5,1.5
2020-06-28 18:52:12,2020-06-28 19:12:42,17.3,276.7,0,89516/89514/89513/89511/89505,275.77,0,275.77,0,1,0.5,1.5
2020-06-28 18:44:12,2020-06-28 18:52:12,12.3,198.5,0,89501/89499,197.11,0,197.11,0,1,0.5,1.5
2020-06-28 18:31:32,2020-06-28 18:44:12,12,193.8,0,89497/89494,194.85,0,194.85,0,1,0.5,1.5
2020-06-28 18:14:32,2020-06-28 18:31:32,13.9,224.5,0,89489/89486/89481,228.92,0,228.922,0,1,0.5,1.5
2020-06-28 17:56:22,2020-06-28 18:14:32,11.3,183.5,0,89475/89473/89472,182.99,0,182.56,0,1,0.5,1.5
2020-06-28 17:43:32,2020-06-28 17:56:22,10.9,178.2,0,89469/89468/89466/89462,177.07,0,177.509,0,1,0.5,1.5
2020-06-28 17:30:52,2020-06-28 17:43:32,15.2,247.1,0,89458/89457/89453/89451,248.11,0,247.668,0,1,0.5,1.5
2020-06-28 17:14:32,2020-06-28 17:30:52,16.6,269.8,0,89448/89444/89441,270.07,0,270.07,0,1,0.5,1.5
2020-06-28 16:45:27,2020-06-28 17:14:32,14.1,231.9,0,89438/89437/89536/89432,232.22,0,232.22,0,1,0.5,1.5
2020-06-28 16:20:07,2020-06-28 16:45:27,12.9,210.3,0,89430/89427/89424/89422/89419,208.09,0,208.09,0,1,0.5,1.5
2020-06-28 15:45:47,2020-06-28 16:20:07,14.3,233.8,0,89416/89413/89411/89410/89407/89404,235.69,0,235.208,0,1,0.5,1.5
2020-06-28 15:15:57,2020-06-28 15:45:47,16.3,267.9,0,89400/89397/89393/89390/89386,266.22,0,266.705,0,1,0.5,1.5
2020-06-28 14:59:17,2020-06-28 15:15:57,12.1,198.3,0,89384/89382/89380/89378,198.02,0,198.525,0,1,0.5,1.5
2020-06-28 14:24:17,2020-06-28 14:59:17,12.9,211.9,0,89376/89373/89370/89368/89367/89364,210.22,0,210.557,0,1,0.5,1.5
2020-06-28 14:05:47,2020-06-28 14:24:17,12.3,202.5,0,89358/89355/89354/89352,203.49,0,203.154,0,1,0.5,1.5
2020-06-28 12:53:57,2020-06-28 14:05:47,15.6,256.2,0,89349/89348/89343/89341/89337/89333/89331/89328/89327/89321,257.96,0,258.304,0,1,0.5,1.5
