开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-29 21:30:26,2020-06-29 21:32:12,2.3,37.7,0,90098,35.85,0,35.85,0,1,0.5,1.5
2020-06-29 21:17:22,2020-06-29 21:21:12,2.9,48.2,554,90095,47.69,0,47.69,0,1,1,2
2020-06-29 21:12:02,2020-06-29 21:16:12,4.6,75.5,70,90093,75.95,0,75.95,0,1,0.5,1.5
2020-06-29 21:08:52,2020-06-29 21:10:32,2,33.6,90,90089,32.26,0,32.26,0,1,0.5,1.5
2020-06-29 21:01:22,2020-06-29 21:02:32,1.1,16.7,380,90087,17.93,0,18.524,0,0.75,1,1.75
2020-06-29 20:52:02,2020-06-29 20:53:12,0.5,8.4,490,90082,7.17,0,6.575,0,0.5,1,1.5
2020-06-29 20:47:42,2020-06-29 20:51:52,5,81.4,10,90081,84.3,0,84.899,0,1,0.5,1.5
2020-06-29 20:40:02,2020-06-29 20:41:42,1.9,31.2,360,90077,30.73,0,30.13,0,1,1,2
2020-06-29 20:34:32,2020-06-29 20:38:02,4.5,73,120,90073,75.42,0,75.42,0,1,0.5,1.5
2020-06-29 20:32:02,2020-06-29 20:33:32,0.2,4.2,60,90071,4.49,0,4.49,0,0.5,0.5,1
2020-06-29 20:26:12,2020-06-29 20:28:32,4.4,71.3,210,90069,71.7,0,71.7,0,1,0.5,1.5
2020-06-29 20:23:22,2020-06-29 20:25:32,3.9,62.9,40,90065,62.59,0,62.59,0,1,0.5,1.5
2020-06-29 20:20:42,2020-06-29 20:22:42,1.1,18.9,40,90062,18.5,0,18.5,0,0.75,0.5,1.25
2020-06-29 20:17:12,2020-06-29 20:20:12,2.8,46.4,30,90060,45.59,0,45.59,0,1,0.5,1.5
2020-06-29 20:08:02,2020-06-29 20:09:32,1.1,16.9,460,90055,17.93,0,17.93,0,0.75,1,1.75
2020-06-29 19:50:12,2020-06-29 19:52:22,2.2,35.8,940,90046,37.65,0,37.65,0,1,1,2
2020-06-29 19:46:02,2020-06-29 19:46:42,0.3,4.2,210,90045,2.69,0,3.306,0,0.5,0.5,1
2020-06-29 19:43:22,2020-06-29 19:45:12,2.3,38,50,90043,39.43,0,38.812,0,1,0.5,1.5
2020-06-29 19:38:22,2020-06-29 19:40:42,4.2,69.6,160,90042,69.18,0,69.18,0,1,0.5,1.5
2020-06-29 19:32:02,2020-06-29 19:37:22,8.6,141.1,60,90039,140.9,0,140.9,0,1,0.5,1.5
2020-06-29 19:30:02,2020-06-29 19:30:42,0,0,80,90038,1.8,0,1.8,0,0.5,0.5,1
2020-06-29 19:22:42,2020-06-29 19:23:22,0.1,2.1,400,90034,2.69,0,3.319,0,0.5,1,1.5
2020-06-29 19:20:22,2020-06-29 19:21:42,1,16.8,60,90033,17.93,0,17.3,0,0.75,0.5,1.25
2020-06-29 19:17:22,2020-06-29 19:19:02,0.6,8.4,80,90032,8.97,0,8.97,0,0.5,0.5,1
2020-06-29 19:15:32,2020-06-29 19:17:12,2.1,35.6,10,90030,35.85,0,36.482,0,1,0.5,1.5
2020-06-29 19:09:12,2020-06-29 19:10:32,1.1,16.8,300,90027,17.93,0,17.297,0,0.75,1,1.75
2020-06-29 19:01:52,2020-06-29 19:04:52,3.3,54.6,260,90025,53.78,0,54.415,0,1,0.5,1.5
2020-06-29 18:59:22,2020-06-29 19:01:32,2.7,44.3,20,90023,43.91,0,43.91,0,1,0.5,1.5
2020-06-29 18:55:12,2020-06-29 18:57:12,3.1,50.6,130,90020,48.39,0,48.39,0,1,0.5,1.5
2020-06-29 18:47:22,2020-06-29 18:48:22,0.5,8.4,410,90016,8.97,0,8.33,0,0.5,1,1.5
2020-06-29 18:43:02,2020-06-29 18:45:02,3.4,56.9,140,90015,53.78,0,54.422,0,1,0.5,1.5
2020-06-29 18:40:42,2020-06-29 18:41:42,0.3,4.3,80,90013,4.49,0,4.49,0,0.5,0.5,1
2020-06-29 18:38:12,2020-06-29 18:39:52,2.2,35.8,50,90011,38.54,0,38.54,0,1,0.5,1.5
2020-06-29 18:35:02,2020-06-29 18:35:42,0.1,2.1,150,90009,1.8,0,1.155,0,0.5,0.5,1
2020-06-29 18:32:02,2020-06-29 18:34:32,3.2,52.8,30,90008,48.57,0,48.57,0,1,0.5,1.5
2020-06-29 18:26:52,2020-06-29 18:30:12,4.1,67.5,110,90007,71.7,0,72.35,0,1,0.5,1.5
2020-06-29 18:26:32,2020-06-29 18:26:52,0.3,4.2,0,90004,1.8,0,1.8,0,0.5,0.5,1
2020-06-29 18:23:52,2020-06-29 18:25:12,1.1,16.9,80,90002,17.93,0,17.279,0,0.75,0.5,1.25
2020-06-29 18:16:22,2020-06-29 18:19:22,4.8,80.1,270,90000,79.77,0,79.77,0,1,0.5,1.5
2020-06-29 18:13:52,2020-06-29 18:16:12,2.6,42.2,10,89997,42.51,0,43.167,0,1,0.5,1.5
2020-06-29 18:11:32,2020-06-29 18:13:02,1.3,21.1,50,89995,19.73,0,19.072,0,0.75,0.5,1.25
2020-06-29 18:04:42,2020-06-29 18:08:22,6.8,111.8,190,89992,113.64,0,114.967,0,1,0.5,1.5
