开始时间,结束时间,高度差,体积变化量(L),温度差,稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-05 22:25:52,2020-07-05 22:28:12,3.1,50.7,0,0,39,49.34,0,49.34,0,1,0.5,1.5
2020-07-05 22:20:22,2020-07-05 22:22:32,1.9,31.6,0,200,36,31.84,0,31.84,0,1,0.5,1.5
