开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-07 10:36:59,2020-06-12 15:36:15,17.2,278.5,0,447/432/426/421/419/416/414/412/407/446/445/401/395/392/390/386/382/378/375/371/366/364/360/358/355/351/434/334/332/327/325/324/318/309/308/306/304/301/299/296/295/290/287/285/282/280/278/277/276/271/270/266/263/261/253/252/250/247/245/243/239/236/232/230/228/227/224/216/209/208/207/203/202/198/187/185/182/179/173/172/170/292/291/160/157/155/153/150/147,3460.79,0,3442.55,0,1,0.5,1.5
2020-06-07 10:20:29,2020-06-07 10:36:59,13.2,216.4,0,144/140/136,215.32,0,215.32,0,1,0.5,1.5
2020-06-07 09:57:29,2020-06-07 10:20:29,13.6,221.901,0,134/133/130/126,160.8,0,161.233,0,1,0.5,1.5
2020-06-07 09:39:39,2020-06-07 09:57:29,11.7,190.099,0,121/119/115/112,188.48,0,188.046,0,1,0.5,1.5
2020-06-07 09:10:19,2020-06-07 09:39:39,16.1,260.901,0,110/108/104/222,242.46,0,242.904,0,1,0.5,1.5
2020-06-07 08:30:49,2020-06-07 09:10:19,19.4,313.699,0,221/96/95/94/92/88/86,311.95,0,311.506,0,1,0.5,1.5
2020-06-07 08:09:29,2020-06-07 08:30:49,13.7,219.9,0,82/80/78/75/72,218.23,0,218.686,0,1,0.5,1.5
2020-06-07 07:58:19,2020-06-07 08:09:29,12.2,196.2,0,71/67/64,194.73,0,194.272,0,1,0.5,1.5
2020-06-07 07:32:59,2020-06-07 07:58:19,10.7,171,0,61/59/56/54/52,170.04,0,170.503,0,1,0.5,1.5
2020-06-07 07:01:39,2020-06-07 07:32:59,14.6,235,0,50/46/45/40/34,235.79,0,235.792,0,1,0.5,1.5
2020-06-07 06:44:39,2020-06-07 07:01:39,12.6,200.9,0,32/29/25,201.12,0,201.119,0,1,0.5,1.5
2020-06-07 00:03:59,2020-06-07 06:44:39,26.8,424.6,0,23/22/21/20/19/18/16/14/10/8/7/5/4/2/1,413.44,0,417.583,0,1,0.5,1.5
