开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-08-17 15:04:18,2020-08-17 15:05:58,1.7,16.161,0,5490,16.47,0,16.95,0,0.75,0.5,1.25
2020-08-17 13:22:38,2020-08-17 13:25:48,5.1,49.686,5910,5488,49.42,0,50.546,0,1,1,2
2020-08-17 09:42:38,2020-08-17 09:45:58,6.1,59.824,13000,5478,59.92,0,60.082,0,1,1,2
2020-08-17 08:12:58,2020-08-17 08:15:58,4.9,48.439,5200,5467,49.42,0,49.744,0,1,1,2
2020-08-17 07:22:48,2020-08-17 07:24:08,0.3,3.609,2930,5464,4.12,0,12.557,0,0.5,1,1.5
2020-08-16 14:07:51,2020-08-16 14:11:31,6.5,63.075,61877,5430,66.16,0,67.464,0,1,1,2
2020-08-16 12:15:01,2020-08-16 12:16:11,0.4,4.06,6700,5421,4.68,0,5.822,0,0.5,1,1.5
2020-08-16 10:33:31,2020-08-16 10:35:51,3.4,33.309,5950,5416,32.95,0,32.95,0,1,1,2
2020-08-16 10:31:51,2020-08-16 10:33:01,0.3,2.909,30,5415,3.29,0,4.435,0,0.5,0.5,1
2020-08-16 09:10:01,2020-08-16 09:10:51,0.2,1.746,4860,5410,1.65,0,2.468,0,0.5,1,1.5
2020-08-16 07:55:31,2020-08-16 07:59:11,7.2,69.846,4250,5399,65.83,0,77.183,0,1,1,2
2020-08-15 22:12:21,2020-08-15 22:15:21,4.8,46.745,34810,5392,47.75,0,47.915,0,1,1,2
2020-08-15 22:09:51,2020-08-15 22:10:51,0.4,3.253,90,5391,3.29,0,5.107,0,0.5,0.5,1
2020-08-15 21:05:41,2020-08-15 21:07:51,3.2,30.527,3720,5388,29.65,0,29.65,0,1,1,2
