开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-07 22:03:44,2020-06-12 15:36:15,-216.3,-3557.9,0,447,81.57,0,59.026,0,1,0.5,1.5
2020-06-07 21:14:45,2020-06-07 21:16:54,3.1,50.8,2810,432,51.03,0,51.03,0,1,1,2
2020-06-07 21:01:44,2020-06-07 21:03:04,1.2,19,701,426,18.64,0,18.978,0,0.75,1,1.75
2020-06-07 20:46:34,2020-06-07 20:47:54,1.1,18.9,830,421,18.25,0,18.589,0,0.75,1,1.75
2020-06-07 20:41:24,2020-06-07 20:43:24,2.6,42.2,190,419,43.38,0,42.701,0,1,0.5,1.5
2020-06-07 20:35:44,2020-06-07 20:36:24,0.1,2.1,300,416,1.83,0,2.509,0,0.5,1,1.5
2020-06-07 20:30:34,2020-06-07 20:31:54,1.4,23.2,230,414,22.29,0,21.61,0,1,0.5,1.5
2020-06-07 20:25:34,2020-06-07 20:26:24,0.3,4.3,250,412,4.57,0,5.251,0,0.5,0.5,1
2020-06-07 20:15:54,2020-06-07 20:17:44,2.2,35.8,470,407,35.93,0,35.93,0,1,1,2
2020-06-07 20:06:44,2020-06-07 20:08:24,2.9,48.5,450,446,32.85,0,32.85,0,1,1,2
2020-06-07 20:02:04,2020-06-07 20:04:14,4,65.4,150,445,35.59,0,35.934,0,1,0.5,1.5
2020-06-07 19:36:44,2020-06-07 19:40:34,4.9,80.5,1290,401,84.28,0,84.28,0,1,1,2
2020-06-07 19:26:54,2020-06-07 19:28:24,0.1,2.1,500,395,2.74,0,2.394,0,0.5,1,1.5
2020-06-07 19:22:04,2020-06-07 19:23:54,0.1,2.1,180,392,2.74,0,2.74,0,0.5,0.5,1
2020-06-07 19:18:54,2020-06-07 19:20:54,3.1,50.9,70,390,51.49,0,51.837,0,1,0.5,1.5
2020-06-07 19:13:54,2020-06-07 19:14:44,0.3,4.3,250,386,2.74,0,2.74,0,0.5,0.5,1
2020-06-07 19:07:44,2020-06-07 19:09:14,2,33.9,280,382,36.5,0,36.5,0,1,0.5,1.5
2020-06-07 18:58:44,2020-06-07 19:00:34,1.9,31.8,430,378,30.3,0,30.3,0,1,1,2
2020-06-07 18:54:04,2020-06-07 18:54:54,0.1,2.1,230,375,3.65,0,3.3,0,0.5,0.5,1
2020-06-07 18:39:54,2020-06-07 18:43:34,7.5,123.1,630,371,123.39,0,124.095,0,1,1,2
2020-06-07 18:25:34,2020-06-07 18:27:44,1.9,31.9,730,366,32.13,0,32.13,0,1,1,2
2020-06-07 18:21:54,2020-06-07 18:24:54,4.1,67.9,40,364,65.89,0,65.535,0,1,0.5,1.5
2020-06-07 18:17:44,2020-06-07 18:18:34,0.3,4.2,200,360,3.65,0,3.65,0,0.5,0.5,1
