开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-04 14:35:12,2020-07-04 14:59:42,12,194.5,0,92281/92277/92274/92270,194.05,0,194.049,0,1,0.5,1.5
2020-07-04 14:08:22,2020-07-04 14:35:12,16.8,274.4,0,92267/92260,271.68,0,271.68,0,1,0.5,1.5
2020-07-04 13:37:32,2020-07-04 14:08:22,10.5,168.801,0,92256/92252/92245/92242/92240,167.63,0,168.065,0,1,0.5,1.5
2020-07-04 13:20:22,2020-07-04 13:37:32,10.1,164.699,0,92236/92231,164.34,0,164.784,0,1,0.5,1.5
2020-07-04 12:38:22,2020-07-04 13:20:22,16.4,264.699,0,92226/92224/92222/92219/92217/92211,260.07,0,259.627,0,1,0.5,1.5
2020-07-04 12:02:42,2020-07-04 12:38:22,10.1,163.901,0,92209/92207/92206/92202/92199/92194,166.52,0,168.104,0,1,0.5,1.5
2020-07-04 11:22:02,2020-07-04 12:02:42,11.7,189.4,0,92188/92186/92180/92176/92173,185.72,0,186.18,0,1,0.5,1.5
2020-07-04 11:02:02,2020-07-04 11:22:02,12.6,202.1,0,92171/92168/92165,202.5,0,202.5,0,1,0.5,1.5
2020-07-04 10:48:02,2020-07-04 11:02:02,16.4,261.5,0,92160/92159/92156/92153,261.03,0,261.033,0,1,0.5,1.5
2020-07-04 10:23:52,2020-07-04 10:48:02,18.9,301.701,0,92149/92147/92141,297.78,0,297.78,0,1,0.5,1.5
2020-07-04 09:50:22,2020-07-04 10:23:52,15.3,243.699,0,92139/92136/92135/92132/92129/92123,241.02,0,241.02,0,1,0.5,1.5
2020-07-04 09:35:52,2020-07-04 09:50:22,10.8,171.9,0,92120/92118,171.2,0,171.203,0,1,0.5,1.5
2020-07-04 09:22:42,2020-07-04 09:35:52,13.1,206.7,0,92111/92108/92105,207.47,0,206.981,0,1,0.5,1.5
2020-07-04 09:03:42,2020-07-04 09:22:42,11.2,176.099,0,92101/92098/92095/92093,171.03,0,171.525,0,1,0.5,1.5
2020-07-04 08:46:52,2020-07-04 09:03:42,11.7,183.801,0,92089/92086/92085/92082,184.53,0,183.785,0,1,0.5,1.5
2020-07-04 07:59:42,2020-07-04 08:46:52,17.7,275.1,0,92080/92078/92075/92074/92066/92065/92058,271.84,0,271.84,0,1,0.5,1.5
2020-07-04 07:43:12,2020-07-04 07:59:42,16,249.9,0,92057/92055/92053/92050,248.81,0,248.302,0,1,0.5,1.5
2020-07-04 07:00:02,2020-07-04 07:43:12,19.5,300.6,0,92047/92043/92041/92040/92037/92035/92030,295.6,0,294.564,0,1,0.5,1.5
2020-07-04 00:14:42,2020-07-04 07:00:02,11.3,174.4,0,92029/92026/92019/92015/92008/91994,160.66,0,175.578,0,1,0.5,1.5
2020-07-03 22:26:42,2020-07-04 00:14:42,14.9,228.1,0,91988/91985/91979/91977/91970,224.52,0,226.89,0,1,0.5,1.5
2020-07-03 21:47:02,2020-07-03 22:26:42,13.9,211,0,91967/91963/91962/91954,209.05,0,210.652,0,1,0.5,1.5
2020-07-03 21:12:42,2020-07-03 21:47:02,11.6,175.201,0,91951/91948/91943/91940,172.45,0,173.259,0,1,0.5,1.5
2020-07-03 20:58:42,2020-07-03 21:12:42,10.8,162.799,0,91938/91934,157.95,0,158.223,0,1,0.5,1.5
2020-07-03 20:37:22,2020-07-03 20:58:42,13.8,206,0,91933/91932/91930/91928,206.43,0,206.98,0,1,0.5,1.5
2020-07-03 20:10:42,2020-07-03 20:37:22,14.9,222.599,0,91923/91920/91916,217.56,0,218.11,0,1,0.5,1.5
2020-07-03 19:43:42,2020-07-03 20:10:42,15.4,228.201,0,91912/91907/91906/91904,228.4,0,228.399,0,1,0.5,1.5
2020-07-03 19:08:54,2020-07-03 19:43:42,19.1,279.1,0,91903/91901/91897/91891,275.11,0,275.956,0,1,0.5,1.5
2020-07-03 18:47:02,2020-07-03 19:08:54,11.4,167.199,0,91888/91886/91884/91881,163.76,0,165.174,0,1,0.5,1.5
2020-07-03 18:33:12,2020-07-03 18:47:02,12.5,179.801,0,91878/91874,178.07,0,178.357,0,1,0.5,1.5
2020-07-03 18:19:52,2020-07-03 18:33:12,18.2,259.199,0,91870/91866,257.11,0,257.11,0,1,0.5,1.5
2020-07-03 17:52:52,2020-07-03 18:19:52,18,256,0,91862/91859/91856,253.75,0,255.209,0,1,0.5,1.5
2020-07-03 17:37:22,2020-07-03 17:52:52,15,211.602,0,91851/91848/91846,209.92,0,209.918,0,1,0.5,1.5
2020-07-03 17:21:12,2020-07-03 17:37:22,10.8,150.199,0,91843/91840/91835,147.21,0,147.506,0,1,0.5,1.5
2020-07-03 17:05:02,2020-07-03 17:21:12,13.4,185.301,0,91832/91831/91826,182.95,0,184.445,0,1,0.5,1.5
2020-07-03 16:39:22,2020-07-03 17:05:02,12,164.199,0,91824/91822/91821/91814,161.17,0,161.474,0,1,0.5,1.5
2020-07-03 16:26:12,2020-07-03 16:39:22,17.6,238.801,0,91812/91809/91807,240.87,0,242.088,0,1,0.5,1.5
2020-07-03 16:17:42,2020-07-03 16:26:12,10.2,136.099,0,91805/91802,135.96,0,135.96,0,1,0.5,1.5
2020-07-03 15:52:32,2020-07-03 16:17:42,22.2,295.1,0,91801/91800/91797/91795/91794/91792/91791/91789,292.55,0,293.782,0,1,0.5,1.5
