开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-08-08 21:41:23,2020-08-08 21:42:23,0.4,4.3,0,136826,3.54,0,3.54,0,0.5,0.5,1
2020-08-08 21:37:43,2020-08-08 21:39:43,3.5,38.9,100,136824,42.2,0,42.2,0,1,0.5,1.5
2020-08-08 21:31:43,2020-08-08 21:37:43,10.4,117.7,0,136823,124.67,0,124.67,0,1,0.5,1.5
2020-08-08 21:30:03,2020-08-08 21:31:43,2.6,29.3,0,136821,24.9,0,24.9,0,1,0.5,1.5
2020-08-08 21:28:43,2020-08-08 21:30:03,2.7,30.8,0,136819,28.27,0,28.27,0,1,0.5,1.5
2020-08-08 21:24:43,2020-08-08 21:28:03,3,34,40,136817,31.66,0,31.66,0,1,0.5,1.5
2020-08-08 21:19:03,2020-08-08 21:20:43,3.5,39.9,240,136816,40.64,0,40.64,0,1,0.5,1.5
2020-08-08 21:11:43,2020-08-08 21:17:03,7.9,92.1,120,136814,91.79,0,91.79,0,1,0.5,1.5
2020-08-08 21:10:03,2020-08-08 21:11:33,0,0,10,136810,4.88,0,4.88,0,0.5,0.5,1
2020-08-08 21:07:23,2020-08-08 21:09:23,-0.7,-7.5,40,136808,6.19,0,6.19,0,0.5,0.5,1
2020-08-08 21:06:33,2020-08-08 21:07:23,1.9,22.4,0,136807,8.84,0,8.84,0,0.5,0.5,1
2020-08-08 21:00:43,2020-08-08 21:05:13,9.4,109.9,80,136805,107.07,0,107.07,0,1,0.5,1.5
2020-08-08 20:55:33,2020-08-08 20:58:03,5,59.2,160,136804,52.05,0,52.05,0,1,0.5,1.5
2020-08-08 20:49:43,2020-08-08 20:51:53,5.9,69.8,220,136856,70.68,0,70.68,0,1,0.5,1.5
2020-08-08 20:46:53,2020-08-08 20:49:43,4.5,53.2,0,136855,53.79,0,53.79,0,1,0.5,1.5
2020-08-08 20:38:03,2020-08-08 20:40:03,0,0,410,136794,2.66,0,2.66,0,0.5,1,1.5
2020-08-08 20:35:13,2020-08-08 20:36:33,1.3,15.3,90,136792,7.08,0,7.08,0,0.5,0.5,1
2020-08-08 20:27:03,2020-08-08 20:31:03,12.2,147.9,250,136854,147.46,0,147.46,0,1,0.5,1.5
2020-08-08 20:09:33,2020-08-08 20:13:33,8.1,98,810,136782,92.96,0,92.96,0,1,1,2
