开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-29 21:12:32,2020-06-29 21:16:42,3.5,56.8,0,90094,57.27,0,57.27,0,1,0.5,1.5
2020-06-29 21:05:12,2020-06-29 21:11:32,3.3,54.6,60,90090,54.77,0,54.77,0,1,0.5,1.5
2020-06-29 20:53:42,2020-06-29 20:55:02,1.1,16.8,610,90084,18.88,0,19.224,0,0.75,1,1.75
2020-06-29 20:50:42,2020-06-29 20:53:32,2,33.6,10,90083,33.75,0,33.406,0,1,0.5,1.5
2020-06-29 20:36:42,2020-06-29 20:38:32,2.9,46.5,730,90074,45.36,0,45.36,0,1,1,2
2020-06-29 20:28:42,2020-06-29 20:34:02,5.9,97.6,160,90072,98.64,0,98.64,0,1,0.5,1.5
2020-06-29 20:26:32,2020-06-29 20:28:12,1.8,29.7,30,90068,28.68,0,28.68,0,1,0.5,1.5
2020-06-29 20:23:32,2020-06-29 20:26:22,3.4,57.1,10,90066,58.36,0,58.36,0,1,0.5,1.5
2020-06-29 20:17:12,2020-06-29 20:19:52,2.1,33.7,220,90059,32.74,0,32.74,0,1,0.5,1.5
2020-06-29 20:09:52,2020-06-29 20:11:42,1.9,31.7,330,90056,32.02,0,32.02,0,1,1,2
2020-06-29 20:06:32,2020-06-29 20:09:22,2.4,40.1,30,90054,41.22,0,41.22,0,1,0.5,1.5
2020-06-29 20:02:42,2020-06-29 20:05:02,2.7,44.4,90,90053,44.45,0,44.45,0,1,0.5,1.5
2020-06-29 20:01:22,2020-06-29 20:02:32,1.1,17,10,90051,17.16,0,16.806,0,0.75,0.5,1.25
2020-06-29 19:54:22,2020-06-29 19:57:32,3.2,53.1,230,90049,52.74,0,53.095,0,1,0.5,1.5
2020-06-29 19:35:42,2020-06-29 19:39:12,4.7,78.5,910,90040,78.86,0,78.503,0,1,1,2
2020-06-29 19:22:52,2020-06-29 19:29:02,8.3,135,400,90037,132.37,0,132.37,0,1,1,2
2020-06-29 19:16:42,2020-06-29 19:18:22,1.5,25.4,270,90031,25.38,0,25.741,0,1,0.5,1.5
2020-06-29 19:00:12,2020-06-29 19:01:42,2.2,36.1,900,90024,35.85,0,35.85,0,1,1,2
2020-06-29 18:54:52,2020-06-29 18:59:12,5.2,84.9,60,90022,83.08,0,83.08,0,1,0.5,1.5
2020-06-29 18:50:52,2020-06-29 18:52:42,2,34,130,90018,35.85,0,36.215,0,1,0.5,1.5
2020-06-29 18:38:42,2020-06-29 18:40:42,2.8,46.7,610,90012,45.5,0,45.134,0,1,1,2
2020-06-29 18:37:02,2020-06-29 18:38:32,1.2,19.1,10,90010,20,0,20,0,1,0.5,1.5
2020-06-29 18:26:22,2020-06-29 18:30:03,2.3,38.2,419,90006,39.75,0,39.75,0,1,1,2
2020-06-29 18:25:02,2020-06-29 18:26:02,0.6,8.5,20,90003,8.97,0,9.337,0,0.5,0.5,1
2020-06-29 18:19:12,2020-06-29 18:21:42,2.1,36.1,200,90001,37.64,0,37.272,0,1,0.5,1.5
2020-06-29 18:14:22,2020-06-29 18:17:22,3.1,50.7,110,89998,53.08,0,53.08,0,1,0.5,1.5
2020-06-29 18:08:32,2020-06-29 18:13:32,6.3,103.4,50,89996,104.97,0,104.97,0,1,0.5,1.5
2020-06-29 18:06:32,2020-06-29 18:08:22,2.8,46.5,10,89991,46.21,0,46.21,0,1,0.5,1.5
2020-06-29 18:00:32,2020-06-29 18:02:12,2.3,38.2,260,89990,38.19,0,38.564,0,1,0.5,1.5
2020-06-29 17:54:42,2020-06-29 17:56:12,1.6,27.6,260,89987,26.89,0,26.515,0,1,0.5,1.5
2020-06-29 17:43:12,2020-06-29 17:46:32,2.2,36.1,490,89983,35.6,0,35.6,0,1,1,2
2020-06-29 17:39:02,2020-06-29 17:41:12,2.7,44.5,120,89981,43.11,0,42.733,0,1,0.5,1.5
2020-06-29 17:37:02,2020-06-29 17:38:32,1.6,25.3,30,89979,25.09,0,25.09,0,1,0.5,1.5
2020-06-29 17:28:52,2020-06-29 17:33:52,4.3,71.7,190,89975,72.83,0,73.209,0,1,0.5,1.5
2020-06-29 17:17:02,2020-06-29 17:19:52,3.1,50.7,540,89970,47.89,0,47.13,0,1,1,2
2020-06-29 17:14:32,2020-06-29 17:15:52,1.2,19,70,89968,20,0,20.381,0,1,0.5,1.5
2020-06-29 17:10:12,2020-06-29 17:12:42,2.3,38.2,110,89965,35.85,0,35.85,0,1,0.5,1.5
2020-06-29 16:54:22,2020-06-29 16:56:32,1.7,27.6,820,89958,28.16,0,28.542,0,1,1,2
2020-06-29 16:47:42,2020-06-29 16:52:12,4.6,76.5,130,89954,75.14,0,75.14,0,1,0.5,1.5
2020-06-29 16:43:52,2020-06-29 16:45:42,2.8,46.3,120,89951,45.7,0,45.7,0,1,0.5,1.5
2020-06-29 16:33:22,2020-06-29 16:40:42,11,178.8,190,89948,178.74,0,178.35,0,1,0.5,1.5
2020-06-29 16:25:02,2020-06-29 16:27:02,1.8,29.7,380,89944,29.44,0,29.83,0,1,1,2
2020-06-29 16:20:22,2020-06-29 16:22:02,2.4,40.4,180,89940,39.44,0,39.049,0,1,0.5,1.5
2020-06-29 16:11:42,2020-06-29 16:19:12,13.7,226.899,70,89936,226.53,0,226.133,0,1,0.5,1.5
2020-06-29 16:02:22,2020-06-29 16:04:02,2.3,37.799,460,89929,38.8,0,39.198,0,1,1,2
2020-06-29 15:54:02,2020-06-29 16:00:12,8.6,140.9,130,89927,139.9,0,139.499,0,1,0.5,1.5
2020-06-29 15:39:42,2020-06-29 15:43:12,6.2,101.9,650,89920,101.17,0,101.573,0,1,1,2
2020-06-29 15:31:52,2020-06-29 15:33:42,1.5,25.5,360,89917,25,0,24.596,0,1,1,2
2020-06-29 15:29:42,2020-06-29 15:31:02,1.1,16.799,50,89915,17.93,0,18.334,0,0.75,0.5,1.25
2020-06-29 15:16:22,2020-06-29 15:20:42,4.7,77.602,540,89908,76.93,0,76.93,0,1,1,2
2020-06-29 15:12:02,2020-06-29 15:14:32,1.7,27.299,110,89904,26.89,0,26.89,0,1,0.5,1.5
2020-06-29 15:00:12,2020-06-29 15:03:22,3.9,63,520,89900,63.23,0,63.23,0,1,1,2
2020-06-29 14:51:32,2020-06-29 14:55:42,3.2,52.8,270,89897,53.51,0,53.51,0,1,0.5,1.5
2020-06-29 14:47:02,2020-06-29 14:48:42,2.3,37.9,170,89892,39.07,0,38.659,0,1,0.5,1.5
2020-06-29 14:44:52,2020-06-29 14:46:22,1.2,19,40,89891,17.93,0,17.93,0,0.75,0.5,1.25
2020-06-29 14:37:12,2020-06-29 14:41:32,3.6,59,200,89888,57.92,0,58.333,0,1,0.5,1.5
2020-06-29 14:22:52,2020-06-29 14:24:22,2.2,35.6,770,89881,35.85,0,35.437,0,1,1,2
2020-06-29 14:19:32,2020-06-29 14:20:52,1.4,23.1,120,89878,25.5,0,25.5,0,1,0.5,1.5
2020-06-29 14:14:42,2020-06-29 14:16:12,1.8,29.4,200,89875,29.22,0,29.635,0,1,0.5,1.5
2020-06-29 13:46:02,2020-06-29 13:49:42,2.9,48.199,1500,89867,47.71,0,47.71,0,1,1,2
2020-06-29 13:43:32,2020-06-29 13:45:42,1.6,25.301,20,89863,25,0,25,0,1,0.5,1.5
2020-06-29 13:34:42,2020-06-29 13:36:52,2.8,46.4,400,89860,46.82,0,46.82,0,1,1,2
2020-06-29 13:26:02,2020-06-29 13:29:32,2.8,46.401,310,89858,43.89,0,43.471,0,1,1,2
2020-06-29 13:23:02,2020-06-29 13:25:42,2.2,35.898,20,89856,35.85,0,36.269,0,1,0.5,1.5
2020-06-29 13:10:02,2020-06-29 13:11:32,1.7,27.401,690,89851,28.11,0,28.95,0,1,1,2
2020-06-29 12:41:02,2020-06-29 12:43:02,3.1,50.701,1620,89840,49.71,0,49.289,0,1,1,2
2020-06-29 12:34:02,2020-06-29 12:37:12,2.7,44.299,230,89839,43.51,0,43.088,0,1,0.5,1.5
2020-06-29 12:17:32,2020-06-29 12:23:22,4.2,69.5,640,89836,70.62,0,70.62,0,1,1,2
2020-06-29 12:10:02,2020-06-29 12:11:42,2.2,35.5,350,89831,35.85,0,36.275,0,1,1,2
2020-06-29 12:05:32,2020-06-29 12:09:12,4.6,75,50,89829,74.61,0,74.183,0,1,0.5,1.5
2020-06-29 12:00:22,2020-06-29 12:02:32,2.2,35.5,180,89825,38.33,0,38.33,0,1,0.5,1.5
2020-06-29 11:57:12,2020-06-29 11:59:12,1.1,18.9,70,89823,18.56,0,18.988,0,0.75,0.5,1.25
2020-06-29 11:51:32,2020-06-29 11:53:12,2.3,38,240,89820,35.85,0,35.421,0,1,0.5,1.5
2020-06-29 11:48:42,2020-06-29 11:51:02,3.8,61.199,30,89818,60.04,0,60.47,0,1,0.5,1.5
2020-06-29 11:39:12,2020-06-29 11:40:22,0.5,8.5,500,89813,8.97,0,8.539,0,0.5,1,1.5
2020-06-29 11:29:42,2020-06-29 11:33:02,5.1,83.801,370,89808,83.3,0,83.3,0,1,1,2
2020-06-29 11:15:04,2020-06-29 11:16:52,1.5,22.9,770,89798,21.54,0,21.54,0,1,1,2
2020-06-29 11:11:42,2020-06-29 11:14:22,2.3,37.599,42,89797,35.85,0,35.85,0,1,0.5,1.5
2020-06-29 11:08:42,2020-06-29 11:10:52,3.5,56.199,50,89793,54.54,0,54.54,0,1,0.5,1.5
2020-06-29 10:53:12,2020-06-29 10:58:32,5.9,95.9,610,89788,96.29,0,97.165,0,1,1,2
2020-06-29 10:45:12,2020-06-29 10:46:32,1.1,16.699,400,89782,17.93,0,17.492,0,0.75,1,1.75
2020-06-29 10:41:12,2020-06-29 10:42:52,1.1,18.701,140,89780,17.93,0,17.491,0,0.75,0.5,1.25
2020-06-29 10:38:22,2020-06-29 10:40:12,1.8,29.2,60,89779,29.75,0,29.75,0,1,0.5,1.5
2020-06-29 10:33:52,2020-06-29 10:35:52,3,48,150,89777,48.31,0,48.31,0,1,0.5,1.5
2020-06-29 10:30:32,2020-06-29 10:33:42,3.3,54.201,10,89775,53.77,0,53.77,0,1,0.5,1.5
2020-06-29 10:27:12,2020-06-29 10:28:22,0.6,10.401,130,89774,8.97,0,8.97,0,0.5,0.5,1
2020-06-29 10:24:02,2020-06-29 10:25:32,2,31.3,100,89772,30.27,0,30.27,0,1,0.5,1.5
2020-06-29 10:20:22,2020-06-29 10:23:52,2.9,47.901,10,89771,46.42,0,45.976,0,1,0.5,1.5
2020-06-29 10:14:02,2020-06-29 10:16:22,1.7,27.099,240,89767,28.68,0,28.68,0,1,0.5,1.5
2020-06-29 10:10:22,2020-06-29 10:13:12,3,47.901,50,89766,46.42,0,46.42,0,1,0.5,1.5
2020-06-29 09:57:32,2020-06-29 10:00:04,2.7,43.799,618,89759,44.64,0,45.087,0,1,1,2
2020-06-29 09:48:52,2020-06-29 09:49:42,0.4,6.301,470,89756,8.97,0,9.417,0,0.5,1,1.5
2020-06-29 09:42:52,2020-06-29 09:45:12,4.4,70.9,220,89753,70.44,0,70.44,0,1,0.5,1.5
2020-06-29 09:36:32,2020-06-29 09:40:22,3.3,54.2,150,89749,53.78,0,52.88,0,1,0.5,1.5
2020-06-29 09:20:02,2020-06-29 09:28:02,6.6,108,510,89742,110.48,0,110.48,0,1,1,2
2020-06-29 08:58:42,2020-06-29 09:00:32,0.3,4.102,1170,89731,6,0,6,0,0.5,1,1.5
2020-06-29 08:56:32,2020-06-29 08:58:12,1.4,22.799,30,89729,23.65,0,24.103,0,1,0.5,1.5
2020-06-29 08:46:52,2020-06-29 08:49:42,2.1,33.099,410,89725,33.21,0,32.756,0,1,1,2
2020-06-29 08:38:52,2020-06-29 08:41:32,6.3,102,320,89720,99.6,0,99.144,0,1,1,2
2020-06-29 08:34:32,2020-06-29 08:36:12,2.2,35.401,160,89716,35.85,0,36.307,0,1,0.5,1.5
2020-06-29 08:32:12,2020-06-29 08:34:02,1.1,18.701,30,89714,17.93,0,17.472,0,0.75,0.5,1.25
2020-06-29 08:25:12,2020-06-29 08:28:12,3.1,50,240,89711,48.85,0,49.768,0,1,0.5,1.5
2020-06-29 08:09:52,2020-06-29 08:13:02,3,47.299,730,89706,46.77,0,45.85,0,1,1,2
2020-06-29 08:03:22,2020-06-29 08:04:42,1.6,26.8,310,89705,27.07,0,27.07,0,1,1,2
2020-06-29 08:01:02,2020-06-29 08:03:02,2.6,41.2,20,89703,41.89,0,41.89,0,1,0.5,1.5
2020-06-29 07:54:32,2020-06-29 07:57:02,1.7,26.701,240,89700,26.89,0,26.428,0,1,0.5,1.5
