开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-21 20:14:18,2020-06-21 20:16:58,2.5,40.9,0,24,40.51,0,40.898,0,1,0.5,1.5
2020-06-21 20:11:38,2020-06-21 20:13:18,2.2,34.9,60,23,37.6,0,37.6,0,1,0.5,1.5
2020-06-21 20:08:58,2020-06-21 20:11:28,2.7,43.2,10,22,43.81,0,43.81,0,1,0.5,1.5
2020-06-21 20:07:48,2020-06-21 20:08:28,0.2,2,30,20,2.74,0,2.74,0,0.5,0.5,1
2020-06-21 20:03:18,2020-06-21 20:05:28,2.5,41.2,140,19,39.79,0,39.79,0,1,0.5,1.5
2020-06-21 20:00:00,2020-06-21 20:01:48,2.2,35,90,16,34.14,0,34.14,0,1,0.5,1.5
2020-06-21 19:55:38,2020-06-21 19:58:08,2.2,35.1,112,15,36.05,0,36.05,0,1,0.5,1.5
2020-06-21 19:49:08,2020-06-21 19:50:48,2.1,33.1,290,11,33.58,0,33.58,0,1,0.5,1.5
2020-06-21 19:46:08,2020-06-21 19:48:48,2.2,35.2,20,10,38.43,0,38.032,0,1,0.5,1.5
2020-06-21 19:38:28,2020-06-21 19:39:08,0,0,420,6,1.83,0,2.228,0,0.5,1,1.5
2020-06-21 19:32:38,2020-06-21 19:34:38,1.8,28.9,230,2,36.5,0,36.5,0,1,0.5,1.5
2020-06-21 19:30:18,2020-06-21 19:31:38,1,16.5,60,1,54.13,0,54.13,0,1,0.5,1.5
