开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-10 21:45:07,2020-07-10 22:05:42,16.9,279,0,95461/95456/95453,280.97,0,280.97,0,1,0.5,1.5
2020-07-10 21:32:02,2020-07-10 21:45:07,12,198,0,95451/95448/95446/95443,197.1,0,197.1,0,1,0.5,1.5
2020-07-10 21:23:32,2020-07-10 21:32:02,11.7,191.7,0,95442/95439,191.7,0,191.331,0,1,0.5,1.5
2020-07-10 21:17:02,2020-07-10 21:23:32,11.6,191.6,0,95436/95433,194.73,0,195.103,0,1,0.5,1.5
2020-07-10 21:08:32,2020-07-10 21:17:02,13.7,224.7,0,95431/95429,222.53,0,222.15,0,1,0.5,1.5
2020-07-10 20:59:02,2020-07-10 21:08:32,15.8,261.9,0,95424/95421,266.66,0,266.657,0,1,0.5,1.5
2020-07-10 20:44:12,2020-07-10 20:59:02,20,330.1,0,95419/95412,327.8,0,327.799,0,1,0.5,1.5
2020-07-10 20:33:22,2020-07-10 20:44:12,16.8,276.801,0,95410/95409,274.56,0,274.961,0,1,0.5,1.5
2020-07-10 20:18:52,2020-07-10 20:33:22,21.3,350.398,0,95487/95402,353.54,0,352.727,0,1,0.5,1.5
2020-07-10 20:02:52,2020-07-10 20:18:52,19.4,317.901,0,95399/95397,316.24,0,316.24,0,1,0.5,1.5
2020-07-10 19:47:42,2020-07-10 20:02:52,11.3,186.201,0,95394/95391/95389,189.37,0,189.37,0,1,0.5,1.5
2020-07-10 19:32:22,2020-07-10 19:47:42,12.4,203.199,0,95480/95386/95385,203.87,0,203.868,0,1,0.5,1.5
2020-07-10 19:13:22,2020-07-10 19:32:22,26.3,430.801,0,95383/95380,425.64,0,425.64,0,1,0.5,1.5
2020-07-10 19:02:52,2020-07-10 19:13:22,20.4,332.799,0,95371/95368,335.52,0,335.076,0,1,0.5,1.5
2020-07-10 18:55:12,2020-07-10 19:02:52,11.5,187.3,0,95366/95361,185.43,0,185.879,0,1,0.5,1.5
2020-07-10 18:13:52,2020-07-10 18:55:12,29,470.7,0,95360/95357/95351/95346,472.19,0,472.198,0,1,0.5,1.5
2020-07-10 17:58:12,2020-07-10 18:13:52,12.2,196.5,0,95339/95335/95332,193.73,0,193.268,0,1,0.5,1.5
