开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-28 22:53:02,2020-06-28 22:56:32,4.1,63.6,0,89641,67.22,0,67.22,0,1,0.5,1.5
2020-06-28 22:47:42,2020-06-28 22:49:12,1.4,21.8,230,89639,25.92,0,25.92,0,1,0.5,1.5
2020-06-28 22:41:42,2020-06-28 22:44:52,4.6,71.3,170,89638,65.16,0,65.16,0,1,0.5,1.5
2020-06-28 22:38:22,2020-06-28 22:40:42,3.4,51.8,60,89636,52.92,0,52.92,0,1,0.5,1.5
2020-06-28 22:34:22,2020-06-28 22:36:12,1.9,30.1,130,89633,32.46,0,32.46,0,1,0.5,1.5
2020-06-28 22:29:12,2020-06-28 22:31:32,2.5,38.1,170,89631,38.33,0,38.654,0,1,0.5,1.5
2020-06-28 22:24:42,2020-06-28 22:26:32,1.9,30.1,160,89629,31.66,0,31.66,0,1,0.5,1.5
2020-06-28 22:20:52,2020-06-28 22:24:02,4,61.9,40,89628,59.67,0,59.343,0,1,0.5,1.5
2020-06-28 22:13:32,2020-06-28 22:15:02,1.9,29.7,350,89626,28.15,0,28.15,0,1,1,2
2020-06-28 22:03:12,2020-06-28 22:04:02,0.1,2,570,89620,1.83,0,1.83,0,0.5,1,1.5
2020-06-28 21:56:32,2020-06-28 21:58:02,1.5,21.8,310,89619,21.72,0,22.049,0,1,1,2
2020-06-28 21:52:02,2020-06-28 21:54:12,1.9,29.7,140,89617,33.12,0,33.12,0,1,0.5,1.5
2020-06-28 21:46:32,2020-06-28 21:48:32,2.2,33.7,210,89613,35.75,0,36.191,0,1,0.5,1.5
2020-06-28 21:43:32,2020-06-28 21:45:12,2.2,34,80,89611,35.68,0,34.905,0,1,0.5,1.5
2020-06-28 21:38:32,2020-06-28 21:41:12,4,62.2,140,89609,62.46,0,62.795,0,1,0.5,1.5
2020-06-28 21:35:12,2020-06-28 21:37:42,2.5,40.1,50,89606,36.78,0,36.444,0,1,0.5,1.5
2020-06-28 21:30:22,2020-06-28 21:32:52,5.4,84.6,140,89602,86.59,0,86.59,0,1,0.5,1.5
2020-06-28 21:25:32,2020-06-28 21:27:42,5.2,80.8,160,89599,79.76,0,79.76,0,1,0.5,1.5
2020-06-28 21:21:22,2020-06-28 21:23:32,2.9,44.3,120,89596,48.36,0,48.36,0,1,0.5,1.5
2020-06-28 21:14:52,2020-06-28 21:18:32,6.6,102.3,170,89594,105.12,0,105.12,0,1,0.5,1.5
2020-06-28 21:07:52,2020-06-28 21:11:22,8.4,131.8,210,89590,136.08,0,136.08,0,1,0.5,1.5
2020-06-28 21:05:42,2020-06-28 21:07:32,2.2,34.5,20,89587,38.33,0,38.33,0,1,0.5,1.5
2020-06-28 21:02:32,2020-06-28 21:04:42,1.4,22.4,60,89585,23.75,0,23.75,0,1,0.5,1.5
2020-06-28 20:58:32,2020-06-28 21:00:22,4.5,71.1,130,89582,75.19,0,75.19,0,1,0.5,1.5
2020-06-28 20:53:52,2020-06-28 20:55:22,1.8,28.4,190,89579,24.7,0,24.7,0,1,0.5,1.5
2020-06-28 20:45:22,2020-06-28 20:51:22,9.4,148.4,150,89578,150.57,0,150.57,0,1,0.5,1.5
2020-06-28 20:37:42,2020-06-28 20:42:42,7.8,124.4,160,89574,125.03,0,125.03,0,1,0.5,1.5
2020-06-28 20:31:22,2020-06-28 20:35:02,6,94.1,160,89571,96.36,0,96.36,0,1,0.5,1.5
2020-06-28 20:24:12,2020-06-28 20:26:02,2.3,36.8,320,89566,36.5,0,36.5,0,1,1,2
2020-06-28 20:17:52,2020-06-28 20:19:32,2.1,32.7,280,89561,31.01,0,31.01,0,1,0.5,1.5
2020-06-28 20:11:32,2020-06-28 20:13:32,2.3,36.9,260,89558,36.5,0,36.5,0,1,0.5,1.5
2020-06-28 20:09:12,2020-06-28 20:11:02,2.5,38.9,30,89556,40.65,0,40.65,0,1,0.5,1.5
2020-06-28 20:05:52,2020-06-28 20:07:52,2.7,43.1,80,89554,42.34,0,42.34,0,1,0.5,1.5
2020-06-28 20:03:42,2020-06-28 20:05:22,1.5,24.7,30,89551,24.58,0,24.58,0,1,0.5,1.5
2020-06-28 20:01:12,2020-06-28 20:03:02,2.3,37.1,40,89550,36.5,0,36.5,0,1,0.5,1.5
2020-06-28 19:56:12,2020-06-28 19:57:42,1.7,26.7,210,89546,26.47,0,26.47,0,1,0.5,1.5
2020-06-28 19:54:12,2020-06-28 19:55:02,0.1,2.1,70,89544,2.92,0,2.538,0,0.5,0.5,1
2020-06-28 19:52:22,2020-06-28 19:53:42,0.9,14.4,30,89543,15.8,0,16.182,0,0.75,0.5,1.25
2020-06-28 19:46:52,2020-06-28 19:48:22,1.7,26.7,240,89539,27.38,0,27.38,0,1,0.5,1.5
2020-06-28 19:38:52,2020-06-28 19:39:42,0.1,2,430,89530,3.65,0,3.65,0,0.5,1,1.5
2020-06-28 19:29:52,2020-06-28 19:32:22,4.4,69.6,390,89527,68.47,0,68.47,0,1,1,2
2020-06-28 19:25:42,2020-06-28 19:27:32,2.5,40.9,140,89525,43.99,0,43.99,0,1,0.5,1.5
2020-06-28 19:20:02,2020-06-28 19:25:32,9.8,156.2,10,89524,158.14,0,158.14,0,1,0.5,1.5
2020-06-28 19:13:12,2020-06-28 19:14:52,1.9,30.9,310,89518,33.36,0,33.36,0,1,1,2
2020-06-28 19:10:12,2020-06-28 19:12:42,4.5,72.4,30,89516,73,0,73,0,1,0.5,1.5
2020-06-28 19:07:32,2020-06-28 19:08:12,0.3,4.2,120,89514,2.74,0,2.74,0,0.5,0.5,1
2020-06-28 19:05:22,2020-06-28 19:07:22,2.8,45.5,10,89513,45.63,0,45.63,0,1,0.5,1.5
2020-06-28 19:02:22,2020-06-28 19:04:22,2.3,37.3,60,89511,36.5,0,36.5,0,1,0.5,1.5
