开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-06 21:23:32,2020-07-06 21:27:42,4.9,80.7,0,93488,82.03,0,82.226,0,1,0.5,1.5
2020-07-06 21:19:02,2020-07-06 21:21:32,3,48.8,120,93486,47.2,0,47.593,0,1,0.5,1.5
2020-07-06 21:16:32,2020-07-06 21:18:22,2.2,36.1,40,93485,36.74,0,36.74,0,1,0.5,1.5
2020-07-06 21:13:42,2020-07-06 21:15:22,2,34,70,93482,32.89,0,32.89,0,1,0.5,1.5
2020-07-06 20:49:32,2020-07-06 20:51:42,5.3,86.699,1320,93472,87.42,0,87.817,0,1,1,2
2020-07-06 20:30:22,2020-07-06 20:32:12,2.6,42,1040,93465,42.57,0,42.57,0,1,1,2
2020-07-06 20:27:02,2020-07-06 20:29:02,1,16.801,80,93463,17.93,0,17.93,0,0.75,0.5,1.25
2020-07-06 20:23:02,2020-07-06 20:25:12,2.3,37.699,110,93461,36.28,0,36.28,0,1,0.5,1.5
2020-07-06 20:17:52,2020-07-06 20:19:22,1.9,31.5,220,93456,31.52,0,31.52,0,1,0.5,1.5
2020-07-06 20:14:52,2020-07-06 20:16:12,0.5,8.398,100,93455,10,0,10.4,0,0.75,0.5,1.25
2020-07-06 20:05:32,2020-07-06 20:06:52,1,16.901,480,93452,17.93,0,17.93,0,0.75,1,1.75
2020-07-06 19:52:02,2020-07-06 19:57:32,10.3,169.5,480,93447,169.86,0,169.455,0,1,1,2
2020-07-06 19:43:52,2020-07-06 19:45:32,2.2,35.699,390,93441,35.85,0,35.85,0,1,1,2
2020-07-06 19:35:22,2020-07-06 19:37:32,3,48.199,380,93436,48.74,0,48.74,0,1,1,2
2020-07-06 19:25:32,2020-07-06 19:33:02,6.3,103.099,140,93432,103.67,0,103.67,0,1,0.5,1.5
2020-07-06 19:15:42,2020-07-06 19:19:22,3.1,50.6,370,93426,49,0,49,0,1,1,2
2020-07-06 19:08:32,2020-07-06 19:10:52,3.7,61.199,290,93424,60.27,0,60.27,0,1,0.5,1.5
2020-07-06 19:04:32,2020-07-06 19:07:42,2.6,42,50,93422,45.31,0,45.723,0,1,0.5,1.5
2020-07-06 18:56:22,2020-07-06 18:58:52,1.7,27.199,340,93416,28.99,0,28.99,0,1,1,2
2020-07-06 18:48:02,2020-07-06 18:50:02,2.2,35.699,380,93411,35.59,0,35.175,0,1,1,2
2020-07-06 18:41:12,2020-07-06 18:42:32,1.6,25.099,330,93406,26.89,0,26.475,0,1,1,2
2020-07-06 18:35:52,2020-07-06 18:38:32,5.3,86.4,160,93404,87.48,0,87.897,0,1,0.5,1.5
