开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-08-16 21:40:11,2020-08-16 21:42:31,4.9,75.7,0,13,78.75,0,78.75,0,1,0.5,1.5
2020-08-16 21:32:21,2020-08-16 21:34:31,3.7,57.9,340,12,55.72,0,56.158,0,1,1,2
2020-08-16 21:26:01,2020-08-16 21:27:51,2.4,37.9,270,11,36.68,0,36.68,0,1,0.5,1.5
2020-08-16 21:21:51,2020-08-16 21:23:01,1.1,17.9,180,10,17.67,0,17.229,0,0.75,0.5,1.25
2020-08-16 21:18:21,2020-08-16 21:19:21,0.5,8,150,9,8.84,0,9.281,0,0.5,0.5,1
2020-08-16 21:13:41,2020-08-16 21:14:51,1.4,21.9,210,8,22.84,0,22.84,0,1,0.5,1.5
2020-08-16 21:10:51,2020-08-16 21:12:21,2,32.1,80,3,30.06,0,30.06,0,1,0.5,1.5
2020-08-16 21:08:31,2020-08-16 21:10:21,2.3,36.2,30,2,38.84,0,39.063,0,1,0.5,1.5
2020-08-16 21:03:41,2020-08-16 21:05:31,2.3,36.1,180,1,34.35,0,34.126,0,1,0.5,1.5
