开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-06 23:05:42,2020-07-06 23:07:02,1.1,16.8,0,93511,16.7,0,16.993,0,0.75,0.5,1.25
2020-07-06 23:01:32,2020-07-06 23:03:02,0.4,6.3,160,93510,5.46,0,5.167,0,0.5,0.5,1
2020-07-06 22:59:52,2020-07-06 23:01:12,0.5,8.4,20,93509,8.46,0,8.46,0,0.5,0.5,1
2020-07-06 22:56:02,2020-07-06 22:59:12,2.4,40,40,93508,39.4,0,39.694,0,1,0.5,1.5
2020-07-06 22:46:02,2020-07-06 22:46:42,0.1,2.1,560,93507,0.84,0,0.84,0,0.5,1,1.5
2020-07-06 22:40:32,2020-07-06 22:44:12,3.9,63.1,110,93504,61.52,0,61.224,0,1,0.5,1.5
2020-07-06 22:34:52,2020-07-06 22:38:52,4.1,67,100,93502,64.99,0,65.882,0,1,0.5,1.5
2020-07-06 22:01:52,2020-07-06 22:03:42,1.2,18.8,1870,93497,16.7,0,17.147,0,0.75,1,1.75
2020-07-06 21:43:32,2020-07-06 21:47:12,2,33.5,880,93493,33.4,0,33.4,0,1,1,2
2020-07-06 21:39:42,2020-07-06 21:42:22,2.5,39.7,70,93491,39.63,0,39.63,0,1,0.5,1.5
2020-07-06 21:19:02,2020-07-06 21:25:12,10.2,166.9,870,93487,170.2,0,170.655,0,1,1,2
2020-07-06 21:11:22,2020-07-06 21:16:52,13.1,214.9,130,93483,210.44,0,209.977,0,1,0.5,1.5
2020-07-06 21:06:42,2020-07-06 21:10:52,6.7,110.1,30,93480,111.22,0,111.22,0,1,0.5,1.5
2020-07-06 20:59:22,2020-07-06 21:02:32,3,48.6,250,93476,50.49,0,50.959,0,1,0.5,1.5
2020-07-06 20:52:22,2020-07-06 20:56:12,5.3,86.8,190,93473,85.21,0,85.21,0,1,0.5,1.5
2020-07-06 20:45:42,2020-07-06 20:47:22,1.8,29.6,300,93470,29.04,0,29.513,0,1,1,2
2020-07-06 20:27:52,2020-07-06 20:29:42,2.4,40.3,960,93464,39.84,0,39.84,0,1,1,2
2020-07-06 20:20:02,2020-07-06 20:22:12,1.8,29.6,340,93458,30,0,30,0,1,1,2
2020-07-06 20:17:52,2020-07-06 20:19:42,2.6,42.3,20,93457,42.94,0,42.94,0,1,0.5,1.5
2020-07-06 20:08:12,2020-07-06 20:14:02,12.1,199,230,93454,198.72,0,198.72,0,1,0.5,1.5
2020-07-06 19:59:42,2020-07-06 20:03:52,5,82.8,260,93450,84.08,0,84.08,0,1,0.5,1.5
2020-07-06 19:53:02,2020-07-06 19:54:52,2.5,40.5,290,93446,39.96,0,39.96,0,1,0.5,1.5
