开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-07 15:34:59,2020-06-07 15:46:49,11.6,184.599,0,293/288,184.67,0,185.166,0,1,0.5,1.5
2020-06-07 15:03:39,2020-06-07 15:34:59,11.5,182,0,286/283/279,177.54,0,178.543,0,1,0.5,1.5
2020-06-07 14:45:09,2020-06-07 15:03:39,14,220.299,0,274/273/268,218.55,0,218.553,0,1,0.5,1.5
2020-06-07 14:15:19,2020-06-07 14:45:09,19.1,299.901,0,264/262/259/256/255/251,298.78,0,299.812,0,1,0.5,1.5
2020-06-07 13:44:39,2020-06-07 14:15:19,15.2,238.599,0,248/244/242/240,236.6,0,236.079,0,1,0.5,1.5
2020-06-07 13:17:29,2020-06-07 13:44:39,14.3,223.401,0,234/231/229/225,218.45,0,220.026,0,1,0.5,1.5
2020-06-07 13:04:19,2020-06-07 13:17:29,15,232.201,0,219/218/215,230.03,0,231.88,0,1,0.5,1.5
2020-06-07 12:55:39,2020-06-07 13:04:19,13.4,207.299,0,213/211,205.09,0,204.286,0,1,0.5,1.5
2020-06-07 12:44:19,2020-06-07 12:55:39,14,212.701,0,210/319,150.91,0,151.723,0,1,0.5,1.5
2020-06-07 12:05:59,2020-06-07 12:44:19,18.3,280.299,0,206/204/200/197/194,278.2,0,278.741,0,1,0.5,1.5
2020-06-07 11:49:09,2020-06-07 12:05:59,11.5,174.5,0,192/189,170.56,0,170.832,0,1,0.5,1.5
2020-06-07 11:31:09,2020-06-07 11:49:09,17.4,263,0,186/183/181/178,262.65,0,262.646,0,1,0.5,1.5
2020-06-07 11:15:59,2020-06-07 11:31:09,14.2,211.9,0,176/171/168,212.14,0,212.138,0,1,0.5,1.5
2020-06-07 11:04:20,2020-06-07 11:15:59,12.5,186.5,0,165/161,184.49,0,185.057,0,1,0.5,1.5
2020-06-07 10:50:39,2020-06-07 11:04:20,20.1,298.5,0,159/156,295.09,0,295.376,0,1,0.5,1.5
2020-06-07 10:35:49,2020-06-07 10:50:39,12,175.4,0,152/148/145,173.42,0,174.29,0,1,0.5,1.5
2020-06-07 10:17:59,2020-06-07 10:35:49,13.5,195.6,0,143/141/139/137/135,193.26,0,192.095,0,1,0.5,1.5
2020-06-07 09:55:49,2020-06-07 10:17:59,24.4,352.199,0,132/258/123,212.58,0,212.874,0,1,0.5,1.5
2020-06-07 09:44:39,2020-06-07 09:55:49,10.9,156.801,0,120/118/116,156.35,0,156.35,0,1,0.5,1.5
2020-06-07 09:29:59,2020-06-07 09:44:39,18.6,262.4,0,114/106,260.39,0,259.184,0,1,0.5,1.5
2020-06-07 09:19:39,2020-06-07 09:29:59,12.1,170.401,0,105/102,169.83,0,169.829,0,1,0.5,1.5
2020-06-07 08:49:29,2020-06-07 09:19:39,24.3,335.5,0,223/99/97/93,269.59,0,270.515,0,1,0.5,1.5
2020-06-07 08:36:59,2020-06-07 08:49:29,10.3,142.199,0,90/87,140.21,0,139.591,0,1,0.5,1.5
2020-06-07 08:28:40,2020-06-07 08:36:59,11.5,155.6,0,85/83,156.19,0,156.191,0,1,0.5,1.5
2020-06-07 08:05:29,2020-06-07 08:28:40,11.8,157.4,0,81/79/73/70,155.81,0,155.811,0,1,0.5,1.5
2020-06-07 07:32:59,2020-06-07 08:05:29,15.4,206.5,0,68/66/62/57,204.49,0,204.176,0,1,0.5,1.5
2020-06-07 07:22:59,2020-06-07 07:32:59,10.9,142.9,0,51/47,139.1,0,139.099,0,1,0.5,1.5
2020-06-07 07:05:29,2020-06-07 07:22:59,17.3,224.901,0,44/41/38,225.63,0,225.948,0,1,0.5,1.5
2020-06-07 06:50:49,2020-06-07 07:05:29,10.8,139.099,0,36/33/31/28,136.93,0,135.968,0,1,0.5,1.5
2020-06-07 05:47:19,2020-06-07 06:50:49,25.1,316.2,0,26/24/17/15/11/9,312.2,0,314.143,0,1,0.5,1.5
