开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-05 21:11:22,2020-07-05 22:11:52,11.7,191.2,0,92998/92995/92990/92986/92981/92972,191.92,0,193.009,0,1,0.5,1.5
2020-07-05 20:41:32,2020-07-05 21:11:22,21.1,344.9,0,92968/92961,345.86,0,345.86,0,1,0.5,1.5
2020-07-05 20:06:32,2020-07-05 20:41:32,17.4,284.6,0,92952/92951/92945/92943/92939/92934,286.38,0,286.38,0,1,0.5,1.5
2020-07-05 19:53:22,2020-07-05 20:06:32,11.1,181.7,0,92932/92928/92927,179.29,0,181.602,0,1,0.5,1.5
2020-07-05 19:33:12,2020-07-05 19:53:22,10.1,166.7,0,92923/92920/92918,165.3,0,165.302,0,1,0.5,1.5
2020-07-05 19:09:12,2020-07-05 19:33:12,10.3,169.7,0,92915/92913/92907/92904,166.52,0,166.859,0,1,0.5,1.5
2020-07-05 18:35:22,2020-07-05 19:09:12,17.2,280.4,0,92901/92899/92895/92893/92891/92889,283.4,0,283.058,0,1,0.5,1.5
2020-07-05 18:18:02,2020-07-05 18:35:22,10.1,167.1,0,92885/92882/92880/92875,170.5,0,170.85,0,1,0.5,1.5
2020-07-05 17:49:22,2020-07-05 18:18:02,14,231,0,92872/92869/92867/92860,231.21,0,230.854,0,1,0.5,1.5
2020-07-05 17:21:32,2020-07-05 17:49:22,11,179.4,0,92857/92854/92852/92844/92842,177.84,0,178.197,0,1,0.5,1.5
2020-07-05 17:03:52,2020-07-05 17:21:32,12.3,203.8,0,92840/92834,201.35,0,201.35,0,1,0.5,1.5
2020-07-05 16:36:32,2020-07-05 17:03:52,10.6,173.8,0,92832/92828/92825/92822,176.53,0,176.53,0,1,0.5,1.5
2020-07-05 16:10:12,2020-07-05 16:36:32,13.5,222.2,0,92820/92818/92814/92813,217.58,0,217.579,0,1,0.5,1.5
2020-07-05 15:42:42,2020-07-05 16:10:12,12.2,200.8,0,92811/92809/92801,198.59,0,198.59,0,1,0.5,1.5
2020-07-05 15:08:22,2020-07-05 15:42:42,14.4,236.9,0,92799/92795/92794/92793/92789/92787/92782,234.8,0,234.799,0,1,0.5,1.5
2020-07-05 14:22:32,2020-07-05 15:08:22,13.1,215.3,0,92780/92778/92774/92772/92768/92764/92759,213.5,0,214.665,0,1,0.5,1.5
2020-07-05 13:56:52,2020-07-05 14:22:32,16,262.701,0,92758/92755/92750,262.4,0,262.4,0,1,0.5,1.5
2020-07-05 13:27:22,2020-07-05 13:56:52,11.8,193.898,0,92745/92741/92738/92731,193.3,0,193.3,0,1,0.5,1.5
2020-07-05 12:44:52,2020-07-05 13:27:22,12.8,208.701,0,92729/92724/92723/92720/92718/92717/92710,205.75,0,205.75,0,1,0.5,1.5
2020-07-05 12:05:52,2020-07-05 12:44:52,11,181.2,0,92706/92704/92694/92690,180.17,0,180.99,0,1,0.5,1.5
2020-07-05 11:52:52,2020-07-05 12:05:52,12.4,201.599,0,92689/92686,203.8,0,203.386,0,1,0.5,1.5
2020-07-05 11:41:02,2020-07-05 11:52:52,10.7,175.102,0,92680/92678/92677,171.42,0,171.839,0,1,0.5,1.5
2020-07-05 11:05:22,2020-07-05 11:41:02,19,310.299,0,92674/92668/92663/92658,311.82,0,311.396,0,1,0.5,1.5
2020-07-05 10:45:12,2020-07-05 11:05:22,19.3,314.5,0,92657/92654,309.98,0,309.538,0,1,0.5,1.5
2020-07-05 10:00:52,2020-07-05 10:45:12,11.5,185.5,0,92645/92641/92634/92633/92628/92624,182.97,0,183.841,0,1,0.5,1.5
2020-07-05 09:43:32,2020-07-05 10:00:52,10.6,173,0,92623/92621/92617/92615,172.75,0,172.745,0,1,0.5,1.5
2020-07-05 09:21:32,2020-07-05 09:43:32,14.2,229.3,0,92611/92607/92605/92603,224.9,0,224.446,0,1,0.5,1.5
2020-07-05 09:05:42,2020-07-05 09:21:32,11.7,188.901,0,92602/92597,193.44,0,194.121,0,1,0.5,1.5
2020-07-05 08:56:22,2020-07-05 09:05:42,14.4,232.799,0,92595/92591,229.25,0,228.562,0,1,0.5,1.5
2020-07-05 08:42:22,2020-07-05 08:56:22,15.8,254,0,92590/92586,253.29,0,253.518,0,1,0.5,1.5
2020-07-05 08:15:12,2020-07-05 08:42:22,19.9,316.201,0,92582/92580/92577/92574/92569,314.41,0,314.416,0,1,0.5,1.5
2020-07-05 07:45:22,2020-07-05 08:15:12,10.8,172.099,0,92562/92559/92653/92549,172.07,0,172.072,0,1,0.5,1.5
2020-07-05 07:33:12,2020-07-05 07:45:22,16.4,262.401,0,92548/92649,258.28,0,257.56,0,1,0.5,1.5
2020-07-05 07:04:22,2020-07-05 07:33:12,11.5,181.199,0,92543/92535/92532,183.66,0,182.687,0,1,0.5,1.5
2020-07-05 06:39:32,2020-07-05 07:04:22,11.1,174.5,0,92531/92523,171.23,0,171.23,0,1,0.5,1.5
2020-07-05 05:55:52,2020-07-05 06:39:32,12.9,204.199,0,92519/92518/92516/92512/92511/92507,199.97,0,198.985,0,1,0.5,1.5
2020-07-04 23:18:52,2020-07-05 05:55:52,10.1,157.5,0,92504/92498/92497/92495/92493,149.07,0,158.071,0,1,0.5,1.5
2020-07-04 21:49:02,2020-07-04 23:18:52,14.9,232.801,0,92486/92476/92471,230.73,0,233.247,0,1,0.5,1.5
2020-07-04 21:05:32,2020-07-04 21:49:02,14.3,221.801,0,92469/92465/92464/92462/92459/92453,218.9,0,218.899,0,1,0.5,1.5
2020-07-04 20:22:42,2020-07-04 21:05:32,15.2,235.898,0,92449/92446/92441/92439/92437/92432,235.62,0,236.653,0,1,0.5,1.5
2020-07-04 19:36:02,2020-07-04 20:22:42,10.8,166.401,0,92427/92423/92412,162.69,0,164.254,0,1,0.5,1.5
2020-07-04 19:13:22,2020-07-04 19:36:02,10.5,162.5,0,92408/92406/92402,162.28,0,162.02,0,1,0.5,1.5
2020-07-04 18:41:42,2020-07-04 19:13:22,11,166.9,0,92398/92395/92392/92389/92387,162.88,0,164.199,0,1,0.5,1.5
2020-07-04 18:17:32,2020-07-04 18:41:42,12.1,183.801,0,92383/92378/92374,180.72,0,180.721,0,1,0.5,1.5
2020-07-04 17:39:22,2020-07-04 18:17:32,16.3,247.398,0,92372/92367/92365/92361/92359/92357/92355,247.02,0,247.557,0,1,0.5,1.5
2020-07-04 17:22:22,2020-07-04 17:39:22,13.9,208.301,0,92353/92350,208.2,0,209.017,0,1,0.5,1.5
2020-07-04 17:08:52,2020-07-04 17:22:22,15.2,227.199,0,92347/92343,223.87,0,223.872,0,1,0.5,1.5
2020-07-04 16:46:22,2020-07-04 17:08:52,16.3,243.201,0,92340/92336/92332/92331,239.69,0,239.133,0,1,0.5,1.5
2020-07-04 16:25:22,2020-07-04 16:46:22,14.8,217.5,0,92327/92324/92318,217.26,0,218.379,0,1,0.5,1.5
