开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-26 19:43:15,2020-06-26 19:44:44,1.3,21.2,0,88620,22.09,0,22.09,0,1,0.5,1.5
2020-06-26 19:26:55,2020-06-26 19:29:24,2.5,40.3,831,88614,40.33,0,41.095,0,1,1,2
2020-06-26 19:21:54,2020-06-26 19:23:55,2.9,48.9,180,88611,47.31,0,47.31,0,1,0.5,1.5
2020-06-26 19:05:55,2020-06-26 19:07:24,2.2,36.1,870,88606,36.5,0,36.884,0,1,1,2
2020-06-26 19:02:55,2020-06-26 19:03:54,0.4,6.3,121,88604,9.13,0,9.13,0,0.5,0.5,1
2020-06-26 18:56:34,2020-06-26 18:58:35,2,33.6,260,88601,35.77,0,35.385,0,1,0.5,1.5
2020-06-26 18:48:04,2020-06-26 18:51:44,3.1,50.3,290,88599,49.47,0,49.47,0,1,0.5,1.5
2020-06-26 18:45:05,2020-06-26 18:46:54,2.7,44,70,88597,43.27,0,42.882,0,1,0.5,1.5
2020-06-26 18:29:34,2020-06-26 18:36:15,11.4,186.5,530,88593,188.48,0,188.872,0,1,1,2
2020-06-26 18:26:44,2020-06-26 18:29:14,2.2,36.1,20,88590,38.91,0,38.517,0,1,0.5,1.5
2020-06-26 18:21:15,2020-06-26 18:23:35,2.6,42.4,189,88586,42.99,0,43.384,0,1,0.5,1.5
2020-06-26 18:15:35,2020-06-26 18:20:05,4.9,80.699,70,88584,80.98,0,80.584,0,1,0.5,1.5
2020-06-26 18:07:34,2020-06-26 18:11:14,3,50.401,261,88581,50.51,0,50.51,0,1,0.5,1.5
2020-06-26 18:05:35,2020-06-26 18:07:14,2.5,39.9,20,88579,39.79,0,40.188,0,1,0.5,1.5
2020-06-26 18:02:45,2020-06-26 18:05:04,3.1,50.301,31,88576,49.64,0,49.24,0,1,0.5,1.5
2020-06-26 17:58:14,2020-06-26 18:00:09,2.6,42.1,156,88573,45.34,0,45.34,0,1,0.5,1.5
2020-06-26 17:54:14,2020-06-26 17:56:04,1.3,21.3,130,88570,21.45,0,21.45,0,1,0.5,1.5
2020-06-26 17:49:35,2020-06-26 17:52:55,7.5,123.1,79,88650,122.54,0,122.54,0,1,0.5,1.5
2020-06-26 17:35:15,2020-06-26 17:38:04,2.1,35.699,691,88563,36.5,0,36.5,0,1,1,2
2020-06-26 17:31:44,2020-06-26 17:35:05,2.7,44,10,88561,42.4,0,42.4,0,1,0.5,1.5
2020-06-26 17:21:45,2020-06-26 17:25:34,3.3,52.5,370,88556,53.62,0,54.027,0,1,1,2
2020-06-26 17:07:55,2020-06-26 17:11:24,3.9,63.099,621,88552,64.89,0,64.481,0,1,1,2
2020-06-26 16:57:24,2020-06-26 16:59:15,2.2,35.9,520,88546,36.5,0,36.91,0,1,1,2
2020-06-26 16:41:55,2020-06-26 16:45:34,4.2,69.6,710,88538,68.21,0,67.799,0,1,1,2
2020-06-26 16:34:25,2020-06-26 16:35:44,1.7,27.4,371,88534,26.87,0,27.282,0,1,1,2
2020-06-26 16:19:04,2020-06-26 16:21:54,2.7,44.099,751,88530,42.05,0,41.637,0,1,1,2
2020-06-26 16:11:35,2020-06-26 16:16:34,7.2,117.401,150,88528,120.26,0,120.676,0,1,0.5,1.5
2020-06-26 15:59:04,2020-06-26 16:01:05,1.3,21.099,630,88521,20.2,0,19.784,0,1,1,2
